=== 20220325 06:48 ===
TIME  | PATHNAME      | SIDE | DEFECTS_FRAC | GAMMA | N_CHUNK | TOLERANCE | CORR_RANGE | POLYMERS | PERCOLATION
06:48 | _20220325/f_0 |  512 |            0 |   0.4 |    2048 |     0.001 | Disabled   | Dimers | Both | (1 / 176)	 Chunks: 5
07:23 | _20220325/f_1 |  512 |            0 |   0.4 |    2048 |     0.001 | Disabled   | Linear trimers | Both | (2 / 176)	 Chunks: 3
07:44 | _20220325/f_2 |  512 |            0 |   0.4 |    2048 |     0.001 | Disabled   | Trimers | Both | (3 / 176)	 Chunks: 5
08:31 | _20220325/f_3 |  512 |            0 |   0.4 |    2048 |     0.001 | Disabled   | Squared | Both | (4 / 176)	 Chunks: 6
09:09 | _20220325/f_4 |  512 |          0.1 |   0.4 |    2048 |     0.001 | Disabled   | Dimers | Both | (5 / 176)	 Chunks: 6
09:51 | _20220325/f_5 |  512 |          0.1 |   0.4 |    2048 |     0.001 | Disabled   | Linear trimers | Both | (6 / 176)	 Chunks: 6
10:32 | _20220325/f_6 |  512 |          0.1 |   0.4 |    2048 |     0.001 | Disabled   | Trimers | Both | (7 / 176)	 Chunks: 4
11:09 | _20220325/f_7 |  512 |          0.1 |   0.4 |    2048 |     0.001 | Disabled   | Squared | Both | (8 / 176)	 Chunks: 3
11:28 | _20220325/f_8 |  512 |          0.2 |   0.4 |    2048 |     0.001 | Disabled   | Dimers | Both | (9 / 176)	 Chunks: 9
12:30 | _20220325/f_9 |  512 |          0.2 |   0.4 |    2048 |     0.001 | Disabled   | Linear trimers | Both | (10 / 176)	 Chunks: 4
12:57 | 20220325/f_10 |  512 |          0.2 |   0.4 |    2048 |     0.001 | Disabled   | Trimers | Both | (11 / 176)	 Chunks: 6
13:50 | 20220325/f_11 |  512 |          0.2 |   0.4 |    2048 |     0.001 | Disabled   | Squared | Both | (12 / 176)	 Chunks: 5
14:22 | 20220325/f_12 |  512 |          0.3 |   0.4 |    2048 |     0.001 | Disabled   | Dimers | Both | (13 / 176)	 Chunks: 4
14:49 | 20220325/f_13 |  512 |          0.3 |   0.4 |    2048 |     0.001 | Disabled   | Linear trimers | Both | (14 / 176)	 Chunks: 13
16:16 | 20220325/f_14 |  512 |          0.3 |   0.4 |    2048 |     0.001 | Disabled   | Trimers | Both | (15 / 176)	 Chunks: 5
16:59 | 20220325/f_15 |  512 |          0.3 |   0.4 |    2048 |     0.001 | Disabled   | Squared | Both | (16 / 176)	 Chunks: 3
17:18 | 20220325/f_16 |  512 |          0.4 |   0.4 |    2048 |     0.001 | Disabled   | Dimers | Both | (17 / 176)	 Chunks: 2
17:31 | 20220325/f_17 |  512 |          0.4 |   0.4 |    2048 |     0.001 | Disabled   | Linear trimers | Both | (18 / 176)	 Chunks: 8
18:24 | 20220325/f_18 |  512 |          0.4 |   0.4 |    2048 |     0.001 | Disabled   | Trimers | Both | (19 / 176)	 Chunks: 6
19:14 | 20220325/f_19 |  512 |          0.4 |   0.4 |    2048 |     0.001 | Disabled   | Squared | Both | (20 / 176)	 Chunks: 9
20:10 | 20220325/f_20 |  512 |          0.5 |   0.4 |    2048 |     0.001 | Disabled   | Dimers | Both | (21 / 176)	 Chunks: 11
21:22 | 20220325/f_21 |  512 |          0.5 |   0.4 |    2048 |     0.001 | Disabled   | Linear trimers | Both | (22 / 176)	 Chunks: 11
22:34 | 20220325/f_22 |  512 |          0.5 |   0.4 |    2048 |     0.001 | Disabled   | Trimers | Both | (23 / 176)	 Chunks: 8
23:37 | 20220325/f_23 |  512 |          0.5 |   0.4 |    2048 |     0.001 | Disabled   | Squared | Both | (24 / 176)	 Chunks: 5
00:08 | 20220325/f_24 |  512 |          0.6 |   0.4 |    2048 |     0.001 | Disabled   | Dimers | Both | (25 / 176)	 Chunks: 10
01:12 | 20220325/f_25 |  512 |          0.6 |   0.4 |    2048 |     0.001 | Disabled   | Linear trimers | Both | (26 / 176)	 Chunks: 9
02:09 | 20220325/f_26 |  512 |          0.6 |   0.4 |    2048 |     0.001 | Disabled   | Trimers | Both | (27 / 176)	 Chunks: 7
03:02 | 20220325/f_27 |  512 |          0.6 |   0.4 |    2048 |     0.001 | Disabled   | Squared | Both | (28 / 176)	 Chunks: 15
04:35 | 20220325/f_28 |  512 |          0.7 |   0.4 |    2048 |     0.001 | Disabled   | Dimers | Both | (29 / 176)	 Chunks: 9
05:31 | 20220325/f_29 |  512 |          0.7 |   0.4 |    2048 |     0.001 | Disabled   | Linear trimers | Both | (30 / 176)	 Chunks: 9
06:28 | 20220325/f_30 |  512 |          0.7 |   0.4 |    2048 |     0.001 | Disabled   | Trimers | Both | (31 / 176)	 Chunks: 6
07:11 | 20220325/f_31 |  512 |          0.7 |   0.4 |    2048 |     0.001 | Disabled   | Squared | Both | (32 / 176)	 Chunks: 14
08:36 | 20220325/f_32 |  512 |          0.8 |   0.4 |    2048 |     0.001 | Disabled   | Dimers | Both | (33 / 176)	 Chunks: 7
09:19 | 20220325/f_33 |  512 |          0.8 |   0.4 |    2048 |     0.001 | Disabled   | Linear trimers | Both | (34 / 176)	 Chunks: 20
11:23 | 20220325/f_34 |  512 |          0.8 |   0.4 |    2048 |     0.001 | Disabled   | Trimers | Both | (35 / 176)	 Chunks: 10
12:31 | 20220325/f_35 |  512 |          0.8 |   0.4 |    2048 |     0.001 | Disabled   | Squared | Both | (36 / 176)	 Chunks: 6
13:07 | 20220325/f_36 |  512 |          0.9 |   0.4 |    2048 |     0.001 | Disabled   | Dimers | Both | (37 / 176)	 Chunks: 10
14:08 | 20220325/f_37 |  512 |          0.9 |   0.4 |    2048 |     0.001 | Disabled   | Linear trimers | Both | (38 / 176)	 Chunks: 9
15:03 | 20220325/f_38 |  512 |          0.9 |   0.4 |    2048 |     0.001 | Disabled   | Trimers | Both | (39 / 176)	 Chunks: 9
16:01 | 20220325/f_39 |  512 |          0.9 |   0.4 |    2048 |     0.001 | Disabled   | Squared | Both | (40 / 176)	 Chunks: 12
17:13 | 20220325/f_40 |  512 |            1 |   0.4 |    2048 |     0.001 | Disabled   | Dimers | Both | (41 / 176)	 Chunks: 2
17:25 | 20220325/f_41 |  512 |            1 |   0.4 |    2048 |     0.001 | Disabled   | Linear trimers | Both | (42 / 176)	 Chunks: 2
17:37 | 20220325/f_42 |  512 |            1 |   0.4 |    2048 |     0.001 | Disabled   | Trimers | Both | (43 / 176)	 Chunks: 2
17:49 | 20220325/f_43 |  512 |            1 |   0.4 |    2048 |     0.001 | Disabled   | Squared | Both | (44 / 176)	 Chunks: 2
18:01 | 20220325/f_44 |  512 |            0 |   0.8 |    2048 |     0.001 | Disabled   | Dimers | Both | (45 / 176)	 Chunks: 4
18:28 | 20220325/f_45 |  512 |            0 |   0.8 |    2048 |     0.001 | Disabled   | Linear trimers | Both | (46 / 176)	 Chunks: 6
19:09 | 20220325/f_46 |  512 |            0 |   0.8 |    2048 |     0.001 | Disabled   | Trimers | Both | (47 / 176)	 Chunks: 3
19:37 | 20220325/f_47 |  512 |            0 |   0.8 |    2048 |     0.001 | Disabled   | Squared | Both | (48 / 176)	 Chunks: 6
20:15 | 20220325/f_48 |  512 |          0.1 |   0.8 |    2048 |     0.001 | Disabled   | Dimers | Both | (49 / 176)	 Chunks: 3
20:35 | 20220325/f_49 |  512 |          0.1 |   0.8 |    2048 |     0.001 | Disabled   | Linear trimers | Both | (50 / 176)	 Chunks: 2
20:49 | 20220325/f_50 |  512 |          0.1 |   0.8 |    2048 |     0.001 | Disabled   | Trimers | Both | (51 / 176)	 Chunks: 5
21:34 | 20220325/f_51 |  512 |          0.1 |   0.8 |    2048 |     0.001 | Disabled   | Squared | Both | (52 / 176)	 Chunks: 3
21:53 | 20220325/f_52 |  512 |          0.2 |   0.8 |    2048 |     0.001 | Disabled   | Dimers | Both | (53 / 176)	 Chunks: 11
23:06 | 20220325/f_53 |  512 |          0.2 |   0.8 |    2048 |     0.001 | Disabled   | Linear trimers | Both | (54 / 176)	 Chunks: 3
23:26 | 20220325/f_54 |  512 |          0.2 |   0.8 |    2048 |     0.001 | Disabled   | Trimers | Both | (55 / 176)	 Chunks: 4
00:01 | 20220325/f_55 |  512 |          0.2 |   0.8 |    2048 |     0.001 | Disabled   | Squared | Both | (56 / 176)	 Chunks: 6
00:38 | 20220325/f_56 |  512 |          0.3 |   0.8 |    2048 |     0.001 | Disabled   | Dimers | Both | (57 / 176)	 Chunks: 12
01:57 | 20220325/f_57 |  512 |          0.3 |   0.8 |    2048 |     0.001 | Disabled   | Linear trimers | Both | (58 / 176)	 Chunks: 7
02:43 | 20220325/f_58 |  512 |          0.3 |   0.8 |    2048 |     0.001 | Disabled   | Trimers | Both | (59 / 176)	 Chunks: 5
03:26 | 20220325/f_59 |  512 |          0.3 |   0.8 |    2048 |     0.001 | Disabled   | Squared | Both | (60 / 176)	 Chunks: 11
04:34 | 20220325/f_60 |  512 |          0.4 |   0.8 |    2048 |     0.001 | Disabled   | Dimers | Both | (61 / 176)	 Chunks: 7
05:19 | 20220325/f_61 |  512 |          0.4 |   0.8 |    2048 |     0.001 | Disabled   | Linear trimers | Both | (62 / 176)	 Chunks: 10
06:24 | 20220325/f_62 |  512 |          0.4 |   0.8 |    2048 |     0.001 | Disabled   | Trimers | Both | (63 / 176)	 Chunks: 2
06:40 | 20220325/f_63 |  512 |          0.4 |   0.8 |    2048 |     0.001 | Disabled   | Squared | Both | (64 / 176)	 Chunks: 9
07:35 | 20220325/f_64 |  512 |          0.5 |   0.8 |    2048 |     0.001 | Disabled   | Dimers | Both | (65 / 176)	 Chunks: 7
08:19 | 20220325/f_65 |  512 |          0.5 |   0.8 |    2048 |     0.001 | Disabled   | Linear trimers | Both | (66 / 176)	 Chunks: 13
