=== 20220418 22:15 ===
TIME  | PATHNAME      | SIDE | DEFECTS_FRAC | GAMMA | N_CHUNK | TOLERANCE | CORR_RANGE | POLYMERS | PERCOLATION
22:15 | 0220418_0/f_0 |  256 |         0.05 |   0.4 |     512 |      0.01 | Disabled   | Dimers | Both | (1 / 40)	 Replicas: 65536
23:45 | 0220418_0/f_1 |  256 |          0.1 |   0.4 |     512 |      0.01 | Disabled   | Dimers | Both | (2 / 40)	 Replicas: 65536
01:14 | 0220418_0/f_2 |  256 |         0.05 |   0.8 |     512 |      0.01 | Disabled   | Dimers | Both | (3 / 40)	 Replicas: 131072
04:10 | 0220418_0/f_3 |  256 |          0.1 |   0.8 |     512 |      0.01 | Disabled   | Dimers | Both | (4 / 40)	 Replicas: 262144
09:59 | 0220418_0/f_4 |  256 |         0.05 |   1.2 |     512 |      0.01 | Disabled   | Dimers | Both | (5 / 40)	 Replicas: 262144
15:51 | 0220418_0/f_5 |  256 |          0.1 |   1.2 |     512 |      0.01 | Disabled   | Dimers | Both | (6 / 40)	 Replicas: 131072
18:45 | 0220418_0/f_6 |  256 |         0.05 |   1.6 |     512 |      0.01 | Disabled   | Dimers | Both | (7 / 40)	 Replicas: 131072
21:44 | 0220418_0/f_7 |  256 |          0.1 |   1.6 |     512 |      0.01 | Disabled   | Dimers | Both | (8 / 40)	 Replicas: 131072
00:41 | 0220418_0/f_8 |  128 |         0.05 |   0.4 |     512 |      0.01 | Disabled   | Dimers | Both | (9 / 40)	 Replicas: 65536
01:05 | 0220418_0/f_9 |  128 |          0.1 |   0.4 |     512 |      0.01 | Disabled   | Dimers | Both | (10 / 40)	 Replicas: 65536
01:28 | 220418_0/f_10 |  128 |         0.05 |   0.8 |     512 |      0.01 | Disabled   | Dimers | Both | (11 / 40)	 Replicas: 131072
02:15 | 220418_0/f_11 |  128 |          0.1 |   0.8 |     512 |      0.01 | Disabled   | Dimers | Both | (12 / 40)	 Replicas: 131072
03:01 | 220418_0/f_12 |  128 |         0.05 |   1.2 |     512 |      0.01 | Disabled   | Dimers | Both | (13 / 40)	 Replicas: 131072
03:48 | 220418_0/f_13 |  128 |          0.1 |   1.2 |     512 |      0.01 | Disabled   | Dimers | Both | (14 / 40)	 Replicas: 262144
05:21 | 220418_0/f_14 |  128 |         0.05 |   1.6 |     512 |      0.01 | Disabled   | Dimers | Both | (15 / 40)	 Replicas: 262144
06:56 | 220418_0/f_15 |  128 |          0.1 |   1.6 |     512 |      0.01 | Disabled   | Dimers | Both | (16 / 40)	 Replicas: 262144
