=== 20220503 16:39 ===
TIME  | PATHNAME      | SIDE | DEFECTS_FRAC | GAMMA | N_CHUNK | TOLERANCE | CORR_RANGE | POLYMERS | PERCOLATION
16:39 | _20220503/f_0 |   64 |          0.2 |   0.4 |      64 |      0.01 | Disabled   | Dimers | Both | (1 / 28)	 Replicas: 65536
16:45 | _20220503/f_1 |   64 |          0.2 |   0.8 |      64 |      0.01 | Disabled   | Dimers | Both | (2 / 28)	 Replicas: 131072
16:55 | _20220503/f_2 |   64 |          0.2 |   1.2 |      64 |      0.01 | Disabled   | Dimers | Both | (3 / 28)	 Replicas: 262144
17:16 | _20220503/f_3 |   64 |          0.2 |   1.6 |      64 |      0.01 | Disabled   | Dimers | Both | (4 / 28)	 Replicas: 65536
17:21 | _20220503/f_4 |  128 |          0.2 |   0.4 |      64 |      0.01 | Disabled   | Dimers | Both | (5 / 28)	 Replicas: 65536
17:45 | _20220503/f_5 |  128 |          0.2 |   0.8 |      64 |      0.01 | Disabled   | Dimers | Both | (6 / 28)	 Replicas: 32768
17:56 | _20220503/f_6 |  128 |          0.2 |   1.2 |      64 |      0.01 | Disabled   | Dimers | Both | (7 / 28)	 Replicas: 65536
18:19 | _20220503/f_7 |  128 |          0.2 |   1.6 |      64 |      0.01 | Disabled   | Dimers | Both | (8 / 28)	 Replicas: 131072
19:05 | _20220503/f_8 |  256 |          0.2 |   0.4 |      64 |      0.01 | Disabled   | Dimers | Both | (9 / 28)	 Replicas: 131072
21:58 | _20220503/f_9 |  256 |          0.2 |   0.8 |      64 |      0.01 | Disabled   | Dimers | Both | (10 / 28)	 Replicas: 131072
00:48 | 20220503/f_10 |  256 |          0.2 |   1.2 |      64 |      0.01 | Disabled   | Dimers | Both | (11 / 28)	 Replicas: 131072
03:37 | 20220503/f_11 |  256 |          0.2 |   1.6 |      64 |      0.01 | Disabled   | Dimers | Both | (12 / 28)	 Replicas: 262144
09:22 | 20220503/f_12 |  512 |          0.2 |   0.4 |      64 |      0.01 | Disabled   | Dimers | Both | (13 / 28)	 Replicas: 131072
21:42 | 20220503/f_13 |  512 |          0.2 |   0.8 |      64 |      0.01 | Disabled   | Dimers | Both | (14 / 28)	 Replicas: 131072
09:50 | 20220503/f_14 |  512 |          0.2 |   1.2 |      64 |      0.01 | Disabled   | Dimers | Both | (15 / 28)	 Replicas: 32768
12:51 | 20220503/f_15 |  512 |          0.2 |   1.6 |      64 |      0.01 | Disabled   | Dimers | Both | (16 / 28)	 Replicas: 65536
19:00 | 20220503/f_16 | 1024 |          0.2 |   0.4 |      64 |      0.01 | Disabled   | Dimers | Both | (17 / 28)	 Replicas: 262144
21:44 | 20220503/f_17 | 1024 |          0.2 |   0.8 |      64 |      0.01 | Disabled   | Dimers | Both | (18 / 28)	 Replicas: 131072
22:18 | 20220503/f_18 | 1024 |          0.2 |   1.2 |      64 |      0.01 | Disabled   | Dimers | Both | (19 / 28)	 Replicas: 65536
22:37 | 20220503/f_19 | 1024 |          0.2 |   1.6 |      64 |      0.01 | Disabled   | Dimers | Both | (20 / 28)	 Replicas: 131072
