=== 20220304 19:16 ===
TIME  | PATHNAME      | SIDE | DEFECTS_FRAC | GAMMA | N_CHUNK | TOLERANCE | CORR_RANGE | POLYMERS | PERCOLATION
19:16 |    20220304_0 |   64 |         0.05 |   0.4 |    1024 |     1e-05 | Disabled   | Dimers | Both | 
// Chunks: 115
19:20 |    20220304_1 |   64 |         0.05 |   0.4 |    1024 |     1e-05 | Disabled   | Linear trimers | Both | 
// Chunks: 7
19:21 |    20220304_2 |   64 |         0.05 |   0.4 |    1024 |     1e-05 | Disabled   | Trimers | Both | 
// Chunks: 97
19:26 |    20220304_3 |   64 |         0.05 |   0.4 |    1024 |     1e-05 | Disabled   | Squared | Both | 
// Chunks: 39
19:27 |    20220304_4 |   64 |          0.1 |   0.4 |    1024 |     1e-05 | Disabled   | Dimers | Both | 
// Chunks: 41
19:29 |    20220304_5 |   64 |          0.1 |   0.4 |    1024 |     1e-05 | Disabled   | Linear trimers | Both | 
// Chunks: 19
19:29 |    20220304_6 |   64 |          0.1 |   0.4 |    1024 |     1e-05 | Disabled   | Trimers | Both | 
// Chunks: 91
19:34 |    20220304_7 |   64 |          0.1 |   0.4 |    1024 |     1e-05 | Disabled   | Squared | Both | 
// Chunks: 96
19:37 |    20220304_8 |   64 |          0.2 |   0.4 |    1024 |     1e-05 | Disabled   | Dimers | Both | 
// Chunks: 113
19:41 |    20220304_9 |   64 |          0.2 |   0.4 |    1024 |     1e-05 | Disabled   | Linear trimers | Both | 
// Chunks: 42
19:43 |   20220304_10 |   64 |          0.2 |   0.4 |    1024 |     1e-05 | Disabled   | Trimers | Both | 
// Chunks: 67
19:46 |   20220304_11 |   64 |          0.2 |   0.4 |    1024 |     1e-05 | Disabled   | Squared | Both | 
// Chunks: 70
19:48 |   20220304_12 |   64 |         0.05 |   0.8 |    1024 |     1e-05 | Disabled   | Dimers | Both | 
// Chunks: 35
19:49 |   20220304_13 |   64 |         0.05 |   0.8 |    1024 |     1e-05 | Disabled   | Linear trimers | Both | 
// Chunks: 73
19:52 |   20220304_14 |   64 |         0.05 |   0.8 |    1024 |     1e-05 | Disabled   | Trimers | Both | 
// Chunks: 18
19:53 |   20220304_15 |   64 |         0.05 |   0.8 |    1024 |     1e-05 | Disabled   | Squared | Both | 
// Chunks: 75
19:55 |   20220304_16 |   64 |          0.1 |   0.8 |    1024 |     1e-05 | Disabled   | Dimers | Both | 
// Chunks: 67
19:58 |   20220304_17 |   64 |          0.1 |   0.8 |    1024 |     1e-05 | Disabled   | Linear trimers | Both | 
// Chunks: 36
19:59 |   20220304_18 |   64 |          0.1 |   0.8 |    1024 |     1e-05 | Disabled   | Trimers | Both | 
// Chunks: 83
20:03 |   20220304_19 |   64 |          0.1 |   0.8 |    1024 |     1e-05 | Disabled   | Squared | Both | 
// Chunks: 43
20:05 |   20220304_20 |   64 |          0.2 |   0.8 |    1024 |     1e-05 | Disabled   | Dimers | Both | 
// Chunks: 36
20:06 |   20220304_21 |   64 |          0.2 |   0.8 |    1024 |     1e-05 | Disabled   | Linear trimers | Both | 
// Chunks: 49
20:08 |   20220304_22 |   64 |          0.2 |   0.8 |    1024 |     1e-05 | Disabled   | Trimers | Both | 
// Chunks: 115
20:13 |   20220304_23 |   64 |          0.2 |   0.8 |    1024 |     1e-05 | Disabled   | Squared | Both | 
// Chunks: 108
20:17 |   20220304_24 |   64 |         0.05 |   1.2 |    1024 |     1e-05 | Disabled   | Dimers | Both | 
// Chunks: 129
20:21 |   20220304_25 |   64 |         0.05 |   1.2 |    1024 |     1e-05 | Disabled   | Linear trimers | Both | 
// Chunks: 33
20:23 |   20220304_26 |   64 |         0.05 |   1.2 |    1024 |     1e-05 | Disabled   | Trimers | Both | 
// Chunks: 153
20:31 |   20220304_27 |   64 |         0.05 |   1.2 |    1024 |     1e-05 | Disabled   | Squared | Both | 
// Chunks: 107
20:34 |   20220304_28 |   64 |          0.1 |   1.2 |    1024 |     1e-05 | Disabled   | Dimers | Both | 
// Chunks: 8
20:34 |   20220304_29 |   64 |          0.1 |   1.2 |    1024 |     1e-05 | Disabled   | Linear trimers | Both | 
// Chunks: 53
20:36 |   20220304_30 |   64 |          0.1 |   1.2 |    1024 |     1e-05 | Disabled   | Trimers | Both | 
// Chunks: 41
20:39 |   20220304_31 |   64 |          0.1 |   1.2 |    1024 |     1e-05 | Disabled   | Squared | Both | 
// Chunks: 8
20:39 |   20220304_32 |   64 |          0.2 |   1.2 |    1024 |     1e-05 | Disabled   | Dimers | Both | 
// Chunks: 112
20:43 |   20220304_33 |   64 |          0.2 |   1.2 |    1024 |     1e-05 | Disabled   | Linear trimers | Both | 
// Chunks: 139
20:48 |   20220304_34 |   64 |          0.2 |   1.2 |    1024 |     1e-05 | Disabled   | Trimers | Both | 
// Chunks: 26
20:49 |   20220304_35 |   64 |          0.2 |   1.2 |    1024 |     1e-05 | Disabled   | Squared | Both | 
// Chunks: 56
20:51 |   20220304_36 |   64 |         0.05 |   1.6 |    1024 |     1e-05 | Disabled   | Dimers | Both | 
// Chunks: 93
20:54 |   20220304_37 |   64 |         0.05 |   1.6 |    1024 |     1e-05 | Disabled   | Linear trimers | Both | 
// Chunks: 37
20:55 |   20220304_38 |   64 |         0.05 |   1.6 |    1024 |     1e-05 | Disabled   | Trimers | Both | 
// Chunks: 72
20:59 |   20220304_39 |   64 |         0.05 |   1.6 |    1024 |     1e-05 | Disabled   | Squared | Both | 
// Chunks: 52
21:01 |   20220304_40 |   64 |          0.1 |   1.6 |    1024 |     1e-05 | Disabled   | Dimers | Both | 
// Chunks: 102
21:05 |   20220304_41 |   64 |          0.1 |   1.6 |    1024 |     1e-05 | Disabled   | Linear trimers | Both | 
// Chunks: 100
21:08 |   20220304_42 |   64 |          0.1 |   1.6 |    1024 |     1e-05 | Disabled   | Trimers | Both | 
// Chunks: 73
21:12 |   20220304_43 |   64 |          0.1 |   1.6 |    1024 |     1e-05 | Disabled   | Squared | Both | 
// Chunks: 74
21:15 |   20220304_44 |   64 |          0.2 |   1.6 |    1024 |     1e-05 | Disabled   | Dimers | Both | 
// Chunks: 10
21:15 |   20220304_45 |   64 |          0.2 |   1.6 |    1024 |     1e-05 | Disabled   | Linear trimers | Both | 
// Chunks: 115
21:19 |   20220304_46 |   64 |          0.2 |   1.6 |    1024 |     1e-05 | Disabled   | Trimers | Both | 
// Chunks: 24
21:20 |   20220304_47 |   64 |          0.2 |   1.6 |    1024 |     1e-05 | Disabled   | Squared | Both | 
// Chunks: 23
21:21 |   20220304_48 |  128 |         0.05 |   0.4 |    1024 |     1e-05 | Disabled   | Dimers | Both | 
// Chunks: 80
21:34 |   20220304_49 |  128 |         0.05 |   0.4 |    1024 |     1e-05 | Disabled   | Linear trimers | Both | 
// Chunks: 50
21:42 |   20220304_50 |  128 |         0.05 |   0.4 |    1024 |     1e-05 | Disabled   | Trimers | Both | 
// Chunks: 37
21:51 |   20220304_51 |  128 |         0.05 |   0.4 |    1024 |     1e-05 | Disabled   | Squared | Both | 
// Chunks: 93
22:04 |   20220304_52 |  128 |          0.1 |   0.4 |    1024 |     1e-05 | Disabled   | Dimers | Both | 
// Chunks: 29
22:09 |   20220304_53 |  128 |          0.1 |   0.4 |    1024 |     1e-05 | Disabled   | Linear trimers | Both | 
// Chunks: 45
22:16 |   20220304_54 |  128 |          0.1 |   0.4 |    1024 |     1e-05 | Disabled   | Trimers | Both | 
// Chunks: 34
22:24 |   20220304_55 |  128 |          0.1 |   0.4 |    1024 |     1e-05 | Disabled   | Squared | Both | 
// Chunks: 88
22:36 |   20220304_56 |  128 |          0.2 |   0.4 |    1024 |     1e-05 | Disabled   | Dimers | Both | 
// Chunks: 94
22:51 |   20220304_57 |  128 |          0.2 |   0.4 |    1024 |     1e-05 | Disabled   | Linear trimers | Both | 
// Chunks: 47
22:59 |   20220304_58 |  128 |          0.2 |   0.4 |    1024 |     1e-05 | Disabled   | Trimers | Both | 
// Chunks: 80
23:16 |   20220304_59 |  128 |          0.2 |   0.4 |    1024 |     1e-05 | Disabled   | Squared | Both | 
// Chunks: 293
23:57 |   20220304_60 |  128 |         0.05 |   0.8 |    1024 |     1e-05 | Disabled   | Dimers | Both | 
// Chunks: 67
00:08 |    20220305_0 |  128 |         0.05 |   0.8 |    1024 |     1e-05 | Disabled   | Linear trimers | Both | 
// Chunks: 65
00:18 |    20220305_1 |  128 |         0.05 |   0.8 |    1024 |     1e-05 | Disabled   | Trimers | Both | 
// Chunks: 77
00:36 |    20220305_2 |  128 |         0.05 |   0.8 |    1024 |     1e-05 | Disabled   | Squared | Both | 
// Chunks: 27
00:40 |    20220305_3 |  128 |          0.1 |   0.8 |    1024 |     1e-05 | Disabled   | Dimers | Both | 
// Chunks: 74
00:51 |    20220305_4 |  128 |          0.1 |   0.8 |    1024 |     1e-05 | Disabled   | Linear trimers | Both | 
// Chunks: 96
01:07 |    20220305_5 |  128 |          0.1 |   0.8 |    1024 |     1e-05 | Disabled   | Trimers | Both | 
// Chunks: 44
01:17 |    20220305_6 |  128 |          0.1 |   0.8 |    1024 |     1e-05 | Disabled   | Squared | Both | 
// Chunks: 80
01:28 |    20220305_7 |  128 |          0.2 |   0.8 |    1024 |     1e-05 | Disabled   | Dimers | Both | 
// Chunks: 65
01:38 |    20220305_8 |  128 |          0.2 |   0.8 |    1024 |     1e-05 | Disabled   | Linear trimers | Both | 
// Chunks: 72
01:49 |    20220305_9 |  128 |          0.2 |   0.8 |    1024 |     1e-05 | Disabled   | Trimers | Both | 
// Chunks: 107
02:13 |   20220305_10 |  128 |          0.2 |   0.8 |    1024 |     1e-05 | Disabled   | Squared | Both | 
// Chunks: 48
02:20 |   20220305_11 |  128 |         0.05 |   1.2 |    1024 |     1e-05 | Disabled   | Dimers | Both | 
// Chunks: 55
02:29 |   20220305_12 |  128 |         0.05 |   1.2 |    1024 |     1e-05 | Disabled   | Linear trimers | Both | 
// Chunks: 55
02:38 |   20220305_13 |  128 |         0.05 |   1.2 |    1024 |     1e-05 | Disabled   | Trimers | Both | 
// Chunks: 129
03:08 |   20220305_14 |  128 |         0.05 |   1.2 |    1024 |     1e-05 | Disabled   | Squared | Both | 
// Chunks: 55
03:15 |   20220305_15 |  128 |          0.1 |   1.2 |    1024 |     1e-05 | Disabled   | Dimers | Both | 
// Chunks: 84
03:29 |   20220305_16 |  128 |          0.1 |   1.2 |    1024 |     1e-05 | Disabled   | Linear trimers | Both | 
// Chunks: 85
03:42 |   20220305_17 |  128 |          0.1 |   1.2 |    1024 |     1e-05 | Disabled   | Trimers | Both | 
// Chunks: 64
