=== 20220319 10:26 ===
TIME  | PATHNAME      | SIDE | DEFECTS_FRAC | GAMMA | N_CHUNK | TOLERANCE | CORR_RANGE | POLYMERS | PERCOLATION
10:26 | _20220319/f_0 | 1024 |         0.05 |   0.4 |     256 |     0.001 | Disabled   | Dimers | Both | (1 / 144)	 Chunks: 11
10:51 | _20220319/f_1 | 1024 |         0.05 |   0.4 |     256 |     0.001 | Disabled   | Linear trimers | Both | (2 / 144)	 Chunks: 8
11:08 | _20220319/f_2 | 1024 |         0.05 |   0.4 |     256 |     0.001 | Disabled   | Trimers | Both | (3 / 144)	 Chunks: 11
11:51 | _20220319/f_3 | 1024 |         0.05 |   0.4 |     256 |     0.001 | Disabled   | Squared | Both | (4 / 144)	 Chunks: 6
12:01 | _20220319/f_4 | 1024 |          0.1 |   0.4 |     256 |     0.001 | Disabled   | Dimers | Both | (5 / 144)	 Chunks: 7
12:16 | _20220319/f_5 | 1024 |          0.1 |   0.4 |     256 |     0.001 | Disabled   | Linear trimers | Both | (6 / 144)	 Chunks: 17
12:52 | _20220319/f_6 | 1024 |          0.1 |   0.4 |     256 |     0.001 | Disabled   | Trimers | Both | (7 / 144)	 Chunks: 3
13:03 | _20220319/f_7 | 1024 |          0.1 |   0.4 |     256 |     0.001 | Disabled   | Squared | Both | (8 / 144)	 Chunks: 3
13:08 | _20220319/f_8 | 1024 |          0.2 |   0.4 |     256 |     0.001 | Disabled   | Dimers | Both | (9 / 144)	 Chunks: 5
13:18 | _20220319/f_9 | 1024 |          0.2 |   0.4 |     256 |     0.001 | Disabled   | Linear trimers | Both | (10 / 144)	 Chunks: 8
13:35 | 20220319/f_10 | 1024 |          0.2 |   0.4 |     256 |     0.001 | Disabled   | Trimers | Both | (11 / 144)	 Chunks: 2
13:42 | 20220319/f_11 | 1024 |          0.2 |   0.4 |     256 |     0.001 | Disabled   | Squared | Both | (12 / 144)	 Chunks: 3
13:47 | 20220319/f_12 | 1024 |         0.05 |   0.8 |     256 |     0.001 | Disabled   | Dimers | Both | (13 / 144)	 Chunks: 10
14:09 | 20220319/f_13 | 1024 |         0.05 |   0.8 |     256 |     0.001 | Disabled   | Linear trimers | Both | (14 / 144)	 Chunks: 13
14:37 | 20220319/f_14 | 1024 |         0.05 |   0.8 |     256 |     0.001 | Disabled   | Trimers | Both | (15 / 144)	 Chunks: 10
15:16 | 20220319/f_15 | 1024 |         0.05 |   0.8 |     256 |     0.001 | Disabled   | Squared | Both | (16 / 144)	 Chunks: 6
15:26 | 20220319/f_16 | 1024 |          0.1 |   0.8 |     256 |     0.001 | Disabled   | Dimers | Both | (17 / 144)	 Chunks: 7
15:41 | 20220319/f_17 | 1024 |          0.1 |   0.8 |     256 |     0.001 | Disabled   | Linear trimers | Both | (18 / 144)	 Chunks: 9
16:00 | 20220319/f_18 | 1024 |          0.1 |   0.8 |     256 |     0.001 | Disabled   | Trimers | Both | (19 / 144)	 Chunks: 2
16:08 | 20220319/f_19 | 1024 |          0.1 |   0.8 |     256 |     0.001 | Disabled   | Squared | Both | (20 / 144)	 Chunks: 2
16:12 | 20220319/f_20 | 1024 |          0.2 |   0.8 |     256 |     0.001 | Disabled   | Dimers | Both | (21 / 144)	 Chunks: 5
16:22 | 20220319/f_21 | 1024 |          0.2 |   0.8 |     256 |     0.001 | Disabled   | Linear trimers | Both | (22 / 144)	 Chunks: 12
16:47 | 20220319/f_22 | 1024 |          0.2 |   0.8 |     256 |     0.001 | Disabled   | Trimers | Both | (23 / 144)	 Chunks: 4
17:01 | 20220319/f_23 | 1024 |          0.2 |   0.8 |     256 |     0.001 | Disabled   | Squared | Both | (24 / 144)	 Chunks: 17
17:29 | 20220319/f_24 | 1024 |         0.05 |   1.2 |     256 |     0.001 | Disabled   | Dimers | Both | (25 / 144)	 Chunks: 9
17:49 | 20220319/f_25 | 1024 |         0.05 |   1.2 |     256 |     0.001 | Disabled   | Linear trimers | Both | (26 / 144)	 Chunks: 5
18:00 | 20220319/f_26 | 1024 |         0.05 |   1.2 |     256 |     0.001 | Disabled   | Trimers | Both | (27 / 144)	 Chunks: 9
18:36 | 20220319/f_27 | 1024 |         0.05 |   1.2 |     256 |     0.001 | Disabled   | Squared | Both | (28 / 144)	 Chunks: 14
19:00 | 20220319/f_28 | 1024 |          0.1 |   1.2 |     256 |     0.001 | Disabled   | Dimers | Both | (29 / 144)	 Chunks: 9
19:19 | 20220319/f_29 | 1024 |          0.1 |   1.2 |     256 |     0.001 | Disabled   | Linear trimers | Both | (30 / 144)	 Chunks: 25
20:14 | 20220319/f_30 | 1024 |          0.1 |   1.2 |     256 |     0.001 | Disabled   | Trimers | Both | (31 / 144)	 Chunks: 9
20:48 | 20220319/f_31 | 1024 |          0.1 |   1.2 |     256 |     0.001 | Disabled   | Squared | Both | (32 / 144)	 Chunks: 8
21:02 | 20220319/f_32 | 1024 |          0.2 |   1.2 |     256 |     0.001 | Disabled   | Dimers | Both | (33 / 144)	 Chunks: 13
21:29 | 20220319/f_33 | 1024 |          0.2 |   1.2 |     256 |     0.001 | Disabled   | Linear trimers | Both | (34 / 144)	 Chunks: 8
21:45 | 20220319/f_34 | 1024 |          0.2 |   1.2 |     256 |     0.001 | Disabled   | Trimers | Both | (35 / 144)	 Chunks: 11
22:25 | 20220319/f_35 | 1024 |          0.2 |   1.2 |     256 |     0.001 | Disabled   | Squared | Both | (36 / 144)	 Chunks: 32
23:17 | 20220319/f_36 | 1024 |         0.05 |   1.6 |     256 |     0.001 | Disabled   | Dimers | Both | (37 / 144)	 Chunks: 3
23:24 | 20220319/f_37 | 1024 |         0.05 |   1.6 |     256 |     0.001 | Disabled   | Linear trimers | Both | (38 / 144)	 Chunks: 11
23:49 | 20220319/f_38 | 1024 |         0.05 |   1.6 |     256 |     0.001 | Disabled   | Trimers | Both | (39 / 144)	 Chunks: 8
00:20 | 20220319/f_39 | 1024 |         0.05 |   1.6 |     256 |     0.001 | Disabled   | Squared | Both | (40 / 144)	 Chunks: 11
