=== 20220415 20:14 ===
TIME  | PATHNAME      | SIDE | DEFECTS_FRAC | GAMMA | N_CHUNK | TOLERANCE | CORR_RANGE | POLYMERS | PERCOLATION
20:14 | _20220415/f_0 |  512 |         0.05 |   0.4 |     512 |      0.01 | Disabled   | Squared | Both | (1 / 48)	 Replicas: 65536
22:14 | _20220415/f_1 |  512 |          0.1 |   0.4 |     512 |      0.01 | Disabled   | Squared | Both | (2 / 48)	 Replicas: 65536
00:17 | _20220415/f_2 |  512 |         0.05 |   0.8 |     512 |      0.01 | Disabled   | Squared | Both | (3 / 48)	 Replicas: 65536
02:20 | _20220415/f_3 |  512 |          0.1 |   0.8 |     512 |      0.01 | Disabled   | Squared | Both | (4 / 48)	 Replicas: 65536
04:21 | _20220415/f_4 |  512 |         0.05 |   1.2 |     512 |      0.01 | Disabled   | Squared | Both | (5 / 48)	 Replicas: 32768
05:25 | _20220415/f_5 |  512 |          0.1 |   1.2 |     512 |      0.01 | Disabled   | Squared | Both | (6 / 48)	 Replicas: 262144
13:16 | _20220415/f_6 |  512 |         0.05 |   1.6 |     512 |      0.01 | Disabled   | Squared | Both | (7 / 48)	 Replicas: 131072
17:20 | _20220415/f_7 |  512 |          0.1 |   1.6 |     512 |      0.01 | Disabled   | Squared | Both | (8 / 48)	 Replicas: 16384
17:50 | _20220415/f_8 | 1024 |         0.05 |   0.4 |     512 |      0.01 | Disabled   | Squared | Both | (9 / 48)	 Replicas: 262144
02:36 | _20220415/f_9 | 1024 |          0.1 |   0.4 |     512 |      0.01 | Disabled   | Squared | Both | (10 / 48)	 Replicas: 262144
07:43 | 20220415/f_10 | 1024 |         0.05 |   0.8 |     512 |      0.01 | Disabled   | Squared | Both | (11 / 48)	 Replicas: 131072
21:20 | 20220415/f_11 | 1024 |          0.1 |   0.8 |     512 |      0.01 | Disabled   | Squared | Both | (12 / 48)	 Replicas: 131072
12:40 | 20220415/f_12 | 1024 |         0.05 |   1.2 |     512 |      0.01 | Disabled   | Squared | Both | (13 / 48)	 Replicas: 65536
20:31 | 20220415/f_13 | 1024 |          0.1 |   1.2 |     512 |      0.01 | Disabled   | Squared | Both | (14 / 48)	 Replicas: 131072
