=== 20220515 21:07 ===
TIME  | PATHNAME      | SIDE | DEFECTS_FRAC | GAMMA | N_CHUNK | TOLERANCE | CORR_RANGE | POLYMERS | PERCOLATION
21:07 | _20220515/f_0 |  513 |         0.05 |   0.4 |     512 |      0.01 | Disabled   | Disabled | Both | (1 / 144)	 Replicas: 512
21:08 | _20220515/f_1 |  513 |         0.05 |   0.4 |     512 |      0.01 | Disabled   | Linear trimers | Both | (2 / 144)	 Replicas: 65536
23:55 | _20220515/f_2 |  513 |          0.1 |   0.4 |     512 |      0.01 | Disabled   | Disabled | Both | (3 / 144)	 Replicas: 512
23:56 | _20220515/f_3 |  513 |          0.1 |   0.4 |     512 |      0.01 | Disabled   | Linear trimers | Both | (4 / 144)	 Replicas: 131072
05:03 | _20220515/f_4 |  513 |          0.2 |   0.4 |     512 |      0.01 | Disabled   | Disabled | Both | (5 / 144)	 Replicas: 512
05:03 | _20220515/f_5 |  513 |          0.2 |   0.4 |     512 |      0.01 | Disabled   | Linear trimers | Both | (6 / 144)	 Replicas: 65536
07:26 | _20220515/f_6 |  513 |         0.05 |   0.8 |     512 |      0.01 | Disabled   | Disabled | Both | (7 / 144)	 Replicas: 512
07:27 | _20220515/f_7 |  513 |         0.05 |   0.8 |     512 |      0.01 | Disabled   | Linear trimers | Both | (8 / 144)	 Replicas: 131072
13:01 | _20220515/f_8 |  513 |          0.1 |   0.8 |     512 |      0.01 | Disabled   | Disabled | Both | (9 / 144)	 Replicas: 512
13:02 | _20220515/f_9 |  513 |          0.1 |   0.8 |     512 |      0.01 | Disabled   | Linear trimers | Both | (10 / 144)	 Replicas: 65536
14:47 | 20220515/f_10 |  513 |          0.2 |   0.8 |     512 |      0.01 | Disabled   | Disabled | Both | (11 / 144)	 Replicas: 512
14:47 | 20220515/f_11 |  513 |          0.2 |   0.8 |     512 |      0.01 | Disabled   | Linear trimers | Both | (12 / 144)	 Replicas: 32768
15:28 | 20220515/f_12 |  513 |         0.05 |   1.2 |     512 |      0.01 | Disabled   | Disabled | Both | (13 / 144)	 Replicas: 512
