=== 20220602 16:23 ===
TIME  | PATHNAME      | SIDE | DEFECTS_FRAC | GAMMA | N_CHUNK | TOLERANCE | CORR_RANGE | POLYMERS | PERCOLATION
16:23 | _20220602/f_0 |  512 |         0.05 |   0.4 |  100000 |        -1 | Disabled   | Dimers | Disabled | (1 / 48)	 Replicas: 100000
18:37 | _20220602/f_1 |  512 |         0.05 |   0.4 |  100000 |        -1 | Disabled   | Linear trimers | Disabled | (2 / 48)	 Replicas: 100000
20:56 | _20220602/f_2 |  512 |         0.05 |   0.4 |  100000 |        -1 | Disabled   | Trimers | Disabled | (3 / 48)	 Replicas: 100000
01:25 | _20220602/f_3 |  512 |         0.05 |   0.4 |  100000 |        -1 | Disabled   | Squared | Disabled | (4 / 48)	 Replicas: 100000
03:05 | _20220602/f_4 |  512 |          0.1 |   0.4 |  100000 |        -1 | Disabled   | Dimers | Disabled | (5 / 48)	 Replicas: 100000
05:11 | _20220602/f_5 |  512 |          0.1 |   0.4 |  100000 |        -1 | Disabled   | Linear trimers | Disabled | (6 / 48)	 Replicas: 100000
07:23 | _20220602/f_6 |  512 |          0.1 |   0.4 |  100000 |        -1 | Disabled   | Trimers | Disabled | (7 / 48)	 Replicas: 100000
11:46 | _20220602/f_7 |  512 |          0.1 |   0.4 |  100000 |        -1 | Disabled   | Squared | Disabled | (8 / 48)	 Replicas: 100000
13:25 | _20220602/f_8 |  512 |          0.2 |   0.4 |  100000 |        -1 | Disabled   | Dimers | Disabled | (9 / 48)	 Replicas: 100000
15:25 | _20220602/f_9 |  512 |          0.2 |   0.4 |  100000 |        -1 | Disabled   | Linear trimers | Disabled | (10 / 48)	 Replicas: 100000
17:27 | 20220602/f_10 |  512 |          0.2 |   0.4 |  100000 |        -1 | Disabled   | Trimers | Disabled | (11 / 48)	 Replicas: 100000
21:17 | 20220602/f_11 |  512 |          0.2 |   0.4 |  100000 |        -1 | Disabled   | Squared | Disabled | (12 / 48)	 Replicas: 100000
22:51 | 20220602/f_12 |  512 |         0.05 |   0.8 |  100000 |        -1 | Disabled   | Dimers | Disabled | (13 / 48)	 Replicas: 100000
01:03 | 20220602/f_13 |  512 |         0.05 |   0.8 |  100000 |        -1 | Disabled   | Linear trimers | Disabled | (14 / 48)	 Replicas: 100000
03:20 | 20220602/f_14 |  512 |         0.05 |   0.8 |  100000 |        -1 | Disabled   | Trimers | Disabled | (15 / 48)	 Replicas: 100000
