=== 20220712 20:31 ===
TIME  | PATHNAME      | SIDE | DEFECTS_FRAC | GAMMA | N_CHUNK | TOLERANCE | CORR_RANGE | POLYMERS | PERCOLATION
20:31 | _20220712/f_0 |   64 |         0.05 |   0.4 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (1 / 288)	 Replicas: 128000
20:34 | _20220712/f_1 |   64 |         0.05 |   0.4 |    1000 |     0.001 | Disabled   | Trimers | Disabled | (2 / 288)	 Replicas: 128000
20:39 | _20220712/f_2 |   64 |         0.05 |   0.4 |    1000 |     0.001 | Disabled   | Linear trimers | Disabled | (3 / 288)	 Replicas: 512000
20:50 | _20220712/f_3 |   64 |         0.05 |   0.4 |    1000 |     0.001 | Disabled   | Squared | Disabled | (4 / 288)	 Replicas: 256000
20:54 | _20220712/f_4 |   64 |          0.1 |   0.4 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (5 / 288)	 Replicas: 64000
20:55 | _20220712/f_5 |   64 |          0.1 |   0.4 |    1000 |     0.001 | Disabled   | Trimers | Disabled | (6 / 288)	 Replicas: 512000
21:15 | _20220712/f_6 |   64 |          0.1 |   0.4 |    1000 |     0.001 | Disabled   | Linear trimers | Disabled | (7 / 288)	 Replicas: 256000
21:20 | _20220712/f_7 |   64 |          0.1 |   0.4 |    1000 |     0.001 | Disabled   | Squared | Disabled | (8 / 288)	 Replicas: 32000
21:21 | _20220712/f_8 |   64 |          0.2 |   0.4 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (9 / 288)	 Replicas: 32000
21:22 | _20220712/f_9 |   64 |          0.2 |   0.4 |    1000 |     0.001 | Disabled   | Trimers | Disabled | (10 / 288)	 Replicas: 512000
21:40 | 20220712/f_10 |   64 |          0.2 |   0.4 |    1000 |     0.001 | Disabled   | Linear trimers | Disabled | (11 / 288)	 Replicas: 16000
21:40 | 20220712/f_11 |   64 |          0.2 |   0.4 |    1000 |     0.001 | Disabled   | Squared | Disabled | (12 / 288)	 Replicas: 1024000
21:56 | 20220712/f_12 |   64 |         0.05 |   0.8 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (13 / 288)	 Replicas: 64000
21:57 | 20220712/f_13 |   64 |         0.05 |   0.8 |    1000 |     0.001 | Disabled   | Trimers | Disabled | (14 / 288)	 Replicas: 128000
22:02 | 20220712/f_14 |   64 |         0.05 |   0.8 |    1000 |     0.001 | Disabled   | Linear trimers | Disabled | (15 / 288)	 Replicas: 128000
22:05 | 20220712/f_15 |   64 |         0.05 |   0.8 |    1000 |     0.001 | Disabled   | Squared | Disabled | (16 / 288)	 Replicas: 64000
22:06 | 20220712/f_16 |   64 |          0.1 |   0.8 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (17 / 288)	 Replicas: 512000
22:16 | 20220712/f_17 |   64 |          0.1 |   0.8 |    1000 |     0.001 | Disabled   | Trimers | Disabled | (18 / 288)	 Replicas: 32000
22:18 | 20220712/f_18 |   64 |          0.1 |   0.8 |    1000 |     0.001 | Disabled   | Linear trimers | Disabled | (19 / 288)	 Replicas: 64000
22:19 | 20220712/f_19 |   64 |          0.1 |   0.8 |    1000 |     0.001 | Disabled   | Squared | Disabled | (20 / 288)	 Replicas: 512000
22:27 | 20220712/f_20 |   64 |          0.2 |   0.8 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (21 / 288)	 Replicas: 32000
22:28 | 20220712/f_21 |   64 |          0.2 |   0.8 |    1000 |     0.001 | Disabled   | Trimers | Disabled | (22 / 288)	 Replicas: 512000
22:46 | 20220712/f_22 |   64 |          0.2 |   0.8 |    1000 |     0.001 | Disabled   | Linear trimers | Disabled | (23 / 288)	 Replicas: 256000
22:50 | 20220712/f_23 |   64 |          0.2 |   0.8 |    1000 |     0.001 | Disabled   | Squared | Disabled | (24 / 288)	 Replicas: 256000
22:54 | 20220712/f_24 |   64 |         0.05 |   1.2 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (25 / 288)	 Replicas: 64000
