=== 20220911 14:52 ===
TIME  | PATHNAME      | SIDE | DEFECTS_FRAC | GAMMA | N_CHUNK | TOLERANCE | CORR_RANGE | POLYMERS | PERCOLATION
14:52 | _20220911/f_0 |   64 |         0.05 |   0.4 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (1 / 288)	 Replicas: 4000
14:52 | _20220911/f_1 |   64 |         0.05 |   0.4 |    1000 |     0.001 | Disabled   | Trimers | Disabled | (2 / 288)	 Replicas: 64000
14:55 | _20220911/f_2 |   64 |         0.05 |   0.4 |    1000 |     0.001 | Disabled   | Linear trimers | Disabled | (3 / 288)	 Replicas: 64000
14:56 | _20220911/f_3 |   64 |         0.05 |   0.4 |    1000 |     0.001 | Disabled   | Squared | Disabled | (4 / 288)	 Replicas: 256000
14:59 | _20220911/f_4 |   64 |          0.1 |   0.4 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (5 / 288)	 Replicas: 4000
14:59 | _20220911/f_5 |   64 |          0.1 |   0.4 |    1000 |     0.001 | Disabled   | Trimers | Disabled | (6 / 288)	 Replicas: 32000
15:00 | _20220911/f_6 |   64 |          0.1 |   0.4 |    1000 |     0.001 | Disabled   | Linear trimers | Disabled | (7 / 288)	 Replicas: 1024000
15:18 | _20220911/f_7 |   64 |          0.1 |   0.4 |    1000 |     0.001 | Disabled   | Squared | Disabled | (8 / 288)	 Replicas: 64000
15:18 | _20220911/f_8 |   64 |          0.2 |   0.4 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (9 / 288)	 Replicas: 8000
15:18 | _20220911/f_9 |   64 |          0.2 |   0.4 |    1000 |     0.001 | Disabled   | Trimers | Disabled | (10 / 288)	 Replicas: 32000
15:19 | 20220911/f_10 |   64 |          0.2 |   0.4 |    1000 |     0.001 | Disabled   | Linear trimers | Disabled | (11 / 288)	 Replicas: 128000
15:21 | 20220911/f_11 |   64 |          0.2 |   0.4 |    1000 |     0.001 | Disabled   | Squared | Disabled | (12 / 288)	 Replicas: 512000
15:27 | 20220911/f_12 |   64 |         0.05 |   0.8 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (13 / 288)	 Replicas: 64000
15:29 | 20220911/f_13 |   64 |         0.05 |   0.8 |    1000 |     0.001 | Disabled   | Trimers | Disabled | (14 / 288)	 Replicas: 512000
15:47 | 20220911/f_14 |   64 |         0.05 |   0.8 |    1000 |     0.001 | Disabled   | Linear trimers | Disabled | (15 / 288)	 Replicas: 8000
15:47 | 20220911/f_15 |   64 |         0.05 |   0.8 |    1000 |     0.001 | Disabled   | Squared | Disabled | (16 / 288)	 Replicas: 64000
15:48 | 20220911/f_16 |   64 |          0.1 |   0.8 |    1000 |     0.001 | Disabled   | Dimers | Disabled | (17 / 288)	 Replicas: 4000
