=== 20221106 16:01 ===
TIME  | PATHNAME      | SIDE | DEFECTS_FRAC | GAMMA | N_CHUNK | TOLERANCE | CORR_RANGE | POLYMERS 
16:01 | 221106_v2/f_0 |  512 |         0.05 |   0.4 |  100000 |        -1 | Disabled   | Dimers | (1 / 48)	 Replicas: 100000
17:19 | 221106_v2/f_1 |  512 |         0.05 |   0.4 |  100000 |        -1 | Disabled   | Linear trimers | (2 / 48)	 Replicas: 100000
18:34 | 221106_v2/f_2 |  512 |         0.05 |   0.4 |  100000 |        -1 | Disabled   | Trimers | (3 / 48)	 Replicas: 100000
21:51 | 221106_v2/f_3 |  512 |         0.05 |   0.4 |  100000 |        -1 | Disabled   | Squared | (4 / 48)	 Replicas: 100000
22:56 | 221106_v2/f_4 |  512 |          0.1 |   0.4 |  100000 |        -1 | Disabled   | Dimers | (5 / 48)	 Replicas: 100000
00:08 | 221106_v2/f_5 |  512 |          0.1 |   0.4 |  100000 |        -1 | Disabled   | Linear trimers | (6 / 48)	 Replicas: 100000
01:19 | 221106_v2/f_6 |  512 |          0.1 |   0.4 |  100000 |        -1 | Disabled   | Trimers | (7 / 48)	 Replicas: 100000
04:33 | 221106_v2/f_7 |  512 |          0.1 |   0.4 |  100000 |        -1 | Disabled   | Squared | (8 / 48)	 Replicas: 100000
05:36 | 221106_v2/f_8 |  512 |          0.2 |   0.4 |  100000 |        -1 | Disabled   | Dimers | (9 / 48)	 Replicas: 100000
06:50 | 221106_v2/f_9 |  512 |          0.2 |   0.4 |  100000 |        -1 | Disabled   | Linear trimers | (10 / 48)	 Replicas: 100000
08:00 | 21106_v2/f_10 |  512 |          0.2 |   0.4 |  100000 |        -1 | Disabled   | Trimers | (11 / 48)	 Replicas: 100000
11:25 | 21106_v2/f_11 |  512 |          0.2 |   0.4 |  100000 |        -1 | Disabled   | Squared | (12 / 48)	 Replicas: 100000
12:19 | 21106_v2/f_12 |  512 |         0.05 |   0.8 |  100000 |        -1 | Disabled   | Dimers | (13 / 48)	 Replicas: 100000
