=== 20221212 20:59 ===
TIME  | PATHNAME      | SIDE | DEFECTS_FRAC | GAMMA | N_CHUNK | TOLERANCE | CORR_RANGE | POLYMERS 
20:59 | 221212_v2/f_0 |   64 |          0.2 |   0.4 |    1000 |     0.001 | Disabled   | Dimers | (1 / 24)	 Replicas: 256000
21:02 | 221212_v2/f_1 |   64 |          0.2 |   0.8 |    1000 |     0.001 | Disabled   | Dimers | (2 / 24)	 Replicas: 64000
21:03 | 221212_v2/f_2 |   64 |          0.2 |   1.2 |    1000 |     0.001 | Disabled   | Dimers | (3 / 24)	 Replicas: 256000
21:05 | 221212_v2/f_3 |   64 |          0.2 |   1.6 |    1000 |     0.001 | Disabled   | Dimers | (4 / 24)	 Replicas: 4000
21:05 | 221212_v2/f_4 |  128 |          0.2 |   0.4 |    1000 |     0.001 | Disabled   | Dimers | (5 / 24)	 Replicas: 128000
21:11 | 221212_v2/f_5 |  128 |          0.2 |   0.8 |    1000 |     0.001 | Disabled   | Dimers | (6 / 24)	 Replicas: 16000
21:11 | 221212_v2/f_6 |  128 |          0.2 |   1.2 |    1000 |     0.001 | Disabled   | Dimers | (7 / 24)	 Replicas: 128000
21:17 | 221212_v2/f_7 |  128 |          0.2 |   1.6 |    1000 |     0.001 | Disabled   | Dimers | (8 / 24)	 Replicas: 8000
21:17 | 221212_v2/f_8 |  256 |          0.2 |   0.4 |    1000 |     0.001 | Disabled   | Dimers | (9 / 24)	 Replicas: 256000
22:00 | 221212_v2/f_9 |  256 |          0.2 |   0.8 |    1000 |     0.001 | Disabled   | Dimers | (10 / 24)	 Replicas: 256000
22:44 | 21212_v2/f_10 |  256 |          0.2 |   1.2 |    1000 |     0.001 | Disabled   | Dimers | (11 / 24)	 Replicas: 32000
22:49 | 21212_v2/f_11 |  256 |          0.2 |   1.6 |    1000 |     0.001 | Disabled   | Dimers | (12 / 24)	 Replicas: 4000
22:50 | 21212_v2/f_12 |  512 |          0.2 |   0.4 |    1000 |     0.001 | Disabled   | Dimers | (13 / 24)	 Replicas: 32000
23:11 | 21212_v2/f_13 |  512 |          0.2 |   0.8 |    1000 |     0.001 | Disabled   | Dimers | (14 / 24)	 Replicas: 4000
23:14 | 21212_v2/f_14 |  512 |          0.2 |   1.2 |    1000 |     0.001 | Disabled   | Dimers | (15 / 24)	 Replicas: 16000
23:25 | 21212_v2/f_15 |  512 |          0.2 |   1.6 |    1000 |     0.001 | Disabled   | Dimers | (16 / 24)	 Replicas: 64000
00:07 | 21212_v2/f_16 | 1024 |          0.2 |   0.4 |    1000 |     0.001 | Disabled   | Dimers | (17 / 24)	 Replicas: 256000
12:17 | 21212_v2/f_17 | 1024 |          0.2 |   0.8 |    1000 |     0.001 | Disabled   | Dimers | (18 / 24)	 Replicas: 4096000
13:37 | 21212_v2/f_18 | 1024 |          0.2 |   1.2 |    1000 |     0.001 | Disabled   | Dimers | (19 / 24)	 Replicas: 128000
19:36 | 21212_v2/f_19 | 1024 |          0.2 |   1.6 |    1000 |     0.001 | Disabled   | Dimers | (20 / 24)	 Replicas: 512000
19:26 | 21212_v2/f_20 | 2048 |          0.2 |   0.4 |    1000 |     0.001 | Disabled   | Dimers | (21 / 24)	 Replicas: 512000
