=== 20221016 11:19 ===
TIME  | PATHNAME      | SIDE | DEFECTS_FRAC | GAMMA | N_CHUNK | TOLERANCE | CORR_RANGE | POLYMERS | PERCOLATION
11:19 | _20221016/f_0 |  512 |         0.05 |   0.4 |    1000 |        -1 | Disabled   | Dimers | Disabled | (1 / 48)	 Replicas: 1000
11:20 | _20221016/f_1 |  512 |         0.05 |   0.4 |    1000 |        -1 | Disabled   | Linear trimers | Disabled | (2 / 48)	 Replicas: 1000
11:21 | _20221016/f_2 |  512 |         0.05 |   0.4 |    1000 |        -1 | Disabled   | Trimers | Disabled | (3 / 48)	 Replicas: 1000
11:23 | _20221016/f_3 |  512 |         0.05 |   0.4 |    1000 |        -1 | Disabled   | Squared | Disabled | (4 / 48)	 Replicas: 1000
11:24 | _20221016/f_4 |  512 |          0.1 |   0.4 |    1000 |        -1 | Disabled   | Dimers | Disabled | (5 / 48)	 Replicas: 1000
11:25 | _20221016/f_5 |  512 |          0.1 |   0.4 |    1000 |        -1 | Disabled   | Linear trimers | Disabled | (6 / 48)	 Replicas: 1000
11:26 | _20221016/f_6 |  512 |          0.1 |   0.4 |    1000 |        -1 | Disabled   | Trimers | Disabled | (7 / 48)	 Replicas: 1000
11:28 | _20221016/f_7 |  512 |          0.1 |   0.4 |    1000 |        -1 | Disabled   | Squared | Disabled | (8 / 48)	 Replicas: 1000
11:29 | _20221016/f_8 |  512 |          0.2 |   0.4 |    1000 |        -1 | Disabled   | Dimers | Disabled | (9 / 48)	 Replicas: 1000
11:30 | _20221016/f_9 |  512 |          0.2 |   0.4 |    1000 |        -1 | Disabled   | Linear trimers | Disabled | (10 / 48)	 Replicas: 1000
11:31 | 20221016/f_10 |  512 |          0.2 |   0.4 |    1000 |        -1 | Disabled   | Trimers | Disabled | (11 / 48)	 Replicas: 1000
11:33 | 20221016/f_11 |  512 |          0.2 |   0.4 |    1000 |        -1 | Disabled   | Squared | Disabled | (12 / 48)	 Replicas: 1000
11:33 | 20221016/f_12 |  512 |         0.05 |   0.8 |    1000 |        -1 | Disabled   | Dimers | Disabled | (13 / 48)	 Replicas: 1000
11:34 | 20221016/f_13 |  512 |         0.05 |   0.8 |    1000 |        -1 | Disabled   | Linear trimers | Disabled | (14 / 48)	 Replicas: 1000
