=== 20221024 20:43 ===
TIME  | PATHNAME      | SIDE | DEFECTS_FRAC | GAMMA | N_CHUNK | TOLERANCE | CORR_RANGE | POLYMERS | PERCOLATION
20:43 | _20221024/f_1 |   64 |         0.05 |   0.4 |    1000 |    0.0001 | Disabled   | Dimers | Disabled | (1 / 288)	 Replicas: 1024000
21:06 | _20221024/f_8 |   64 |         0.05 |   0.4 |    1000 |    0.0001 | Disabled   | Trimers | Disabled | (2 / 288)	 Replicas: 512000
21:38 | 20221024/f_13 |   64 |         0.05 |   0.4 |    1000 |    0.0001 | Disabled   | Linear trimers | Disabled | (3 / 288)	 Replicas: 128000
21:42 | 20221024/f_14 |   64 |         0.05 |   0.4 |    1000 |    0.0001 | Disabled   | Squared | Disabled | (4 / 288)	 Replicas: 1024000
21:59 | 20221024/f_15 |   64 |          0.1 |   0.4 |    1000 |    0.0001 | Disabled   | Dimers | Disabled | (5 / 288)	 Replicas: 64000
22:00 | 20221024/f_16 |   64 |          0.1 |   0.4 |    1000 |    0.0001 | Disabled   | Trimers | Disabled | (6 / 288)	 Replicas: 512000
22:31 | 20221024/f_21 |   64 |          0.1 |   0.4 |    1000 |    0.0001 | Disabled   | Linear trimers | Disabled | (7 / 288)	 Replicas: 1024000
22:55 | 20221024/f_22 |   64 |          0.1 |   0.4 |    1000 |    0.0001 | Disabled   | Squared | Disabled | (8 / 288)	 Replicas: 1024000
23:11 | 20221024/f_26 |   64 |          0.2 |   0.4 |    1000 |    0.0001 | Disabled   | Dimers | Disabled | (9 / 288)	 Replicas: 1024000
23:34 | 20221024/f_28 |   64 |          0.2 |   0.4 |    1000 |    0.0001 | Disabled   | Trimers | Disabled | (10 / 288)	 Replicas: 1024000
00:31 | 20221024/f_42 |   64 |          0.2 |   0.4 |    1000 |    0.0001 | Disabled   | Linear trimers | Disabled | (11 / 288)	 Replicas: 1024000
00:55 | 20221024/f_46 |   64 |          0.2 |   0.4 |    1000 |    0.0001 | Disabled   | Squared | Disabled | (12 / 288)	 Replicas: 1024000
01:08 | 20221024/f_51 |   64 |         0.05 |   0.8 |    1000 |    0.0001 | Disabled   | Dimers | Disabled | (13 / 288)	 Replicas: 1024000
01:29 | 20221024/f_56 |   64 |         0.05 |   0.8 |    1000 |    0.0001 | Disabled   | Trimers | Disabled | (14 / 288)	 Replicas: 1024000
02:24 | 20221024/f_61 |   64 |         0.05 |   0.8 |    1000 |    0.0001 | Disabled   | Linear trimers | Disabled | (15 / 288)	 Replicas: 16000
02:24 | 20221024/f_62 |   64 |         0.05 |   0.8 |    1000 |    0.0001 | Disabled   | Squared | Disabled | (16 / 288)	 Replicas: 1024000
02:39 | 20221024/f_63 |   64 |          0.1 |   0.8 |    1000 |    0.0001 | Disabled   | Dimers | Disabled | (17 / 288)	 Replicas: 1024000
02:59 | 20221024/f_64 |   64 |          0.1 |   0.8 |    1000 |    0.0001 | Disabled   | Trimers | Disabled | (18 / 288)	 Replicas: 1024000
03:52 | 20221024/f_66 |   64 |          0.1 |   0.8 |    1000 |    0.0001 | Disabled   | Linear trimers | Disabled | (19 / 288)	 Replicas: 1024000
04:14 | 20221024/f_67 |   64 |          0.1 |   0.8 |    1000 |    0.0001 | Disabled   | Squared | Disabled | (20 / 288)	 Replicas: 1024000
04:28 | 20221024/f_68 |   64 |          0.2 |   0.8 |    1000 |    0.0001 | Disabled   | Dimers | Disabled | (21 / 288)	 Replicas: 1024000
04:47 | 20221024/f_69 |   64 |          0.2 |   0.8 |    1000 |    0.0001 | Disabled   | Trimers | Disabled | (22 / 288)	 Replicas: 1024000
05:36 | 20221024/f_76 |   64 |          0.2 |   0.8 |    1000 |    0.0001 | Disabled   | Linear trimers | Disabled | (23 / 288)	 Replicas: 1024000
05:56 | 20221024/f_77 |   64 |          0.2 |   0.8 |    1000 |    0.0001 | Disabled   | Squared | Disabled | (24 / 288)	 Replicas: 1024000
06:09 | 20221024/f_78 |   64 |         0.05 |   1.2 |    1000 |    0.0001 | Disabled   | Dimers | Disabled | (25 / 288)	 Replicas: 1024000
06:31 | 20221024/f_80 |   64 |         0.05 |   1.2 |    1000 |    0.0001 | Disabled   | Trimers | Disabled | (26 / 288)	 Replicas: 512000
06:58 | 20221024/f_82 |   64 |         0.05 |   1.2 |    1000 |    0.0001 | Disabled   | Linear trimers | Disabled | (27 / 288)	 Replicas: 1024000
07:22 | 20221024/f_84 |   64 |         0.05 |   1.2 |    1000 |    0.0001 | Disabled   | Squared | Disabled | (28 / 288)	 Replicas: 512000
07:29 | 20221024/f_85 |   64 |          0.1 |   1.2 |    1000 |    0.0001 | Disabled   | Dimers | Disabled | (29 / 288)	 Replicas: 1024000
07:50 | 20221024/f_86 |   64 |          0.1 |   1.2 |    1000 |    0.0001 | Disabled   | Trimers | Disabled | (30 / 288)	 Replicas: 128000
07:56 | 20221024/f_88 |   64 |          0.1 |   1.2 |    1000 |    0.0001 | Disabled   | Linear trimers | Disabled | (31 / 288)	 Replicas: 32000
07:57 | 20221024/f_89 |   64 |          0.1 |   1.2 |    1000 |    0.0001 | Disabled   | Squared | Disabled | (32 / 288)	 Replicas: 32000
07:58 | 20221024/f_90 |   64 |          0.2 |   1.2 |    1000 |    0.0001 | Disabled   | Dimers | Disabled | (33 / 288)	 Replicas: 1024000
08:16 | 20221024/f_92 |   64 |          0.2 |   1.2 |    1000 |    0.0001 | Disabled   | Trimers | Disabled | (34 / 288)	 Replicas: 1024000
09:05 | 20221024/f_96 |   64 |          0.2 |   1.2 |    1000 |    0.0001 | Disabled   | Linear trimers | Disabled | (35 / 288)	 Replicas: 128000
09:07 | 20221024/f_97 |   64 |          0.2 |   1.2 |    1000 |    0.0001 | Disabled   | Squared | Disabled | (36 / 288)	 Replicas: 1024000
09:21 | 20221024/f_99 |   64 |         0.05 |   1.6 |    1000 |    0.0001 | Disabled   | Dimers | Disabled | (37 / 288)	 Replicas: 64000
09:22 | 0221024/f_100 |   64 |         0.05 |   1.6 |    1000 |    0.0001 | Disabled   | Trimers | Disabled | (38 / 288)	 Replicas: 8000
09:22 | 0221024/f_101 |   64 |         0.05 |   1.6 |    1000 |    0.0001 | Disabled   | Linear trimers | Disabled | (39 / 288)	 Replicas: 128000
09:25 | 0221024/f_102 |   64 |         0.05 |   1.6 |    1000 |    0.0001 | Disabled   | Squared | Disabled | (40 / 288)	 Replicas: 256000
09:29 | 0221024/f_103 |   64 |          0.1 |   1.6 |    1000 |    0.0001 | Disabled   | Dimers | Disabled | (41 / 288)	 Replicas: 1024000
09:50 | 0221024/f_105 |   64 |          0.1 |   1.6 |    1000 |    0.0001 | Disabled   | Trimers | Disabled | (42 / 288)	 Replicas: 1024000
10:43 | 0221024/f_112 |   64 |          0.1 |   1.6 |    1000 |    0.0001 | Disabled   | Linear trimers | Disabled | (43 / 288)	 Replicas: 1024000
11:05 | 0221024/f_115 |   64 |          0.1 |   1.6 |    1000 |    0.0001 | Disabled   | Squared | Disabled | (44 / 288)	 Replicas: 1024000
11:19 | 0221024/f_116 |   64 |          0.2 |   1.6 |    1000 |    0.0001 | Disabled   | Dimers | Disabled | (45 / 288)	 Replicas: 1024000
11:39 | 0221024/f_117 |   64 |          0.2 |   1.6 |    1000 |    0.0001 | Disabled   | Trimers | Disabled | (46 / 288)	 Replicas: 1024000
12:27 | 0221024/f_123 |   64 |          0.2 |   1.6 |    1000 |    0.0001 | Disabled   | Linear trimers | Disabled | (47 / 288)	 Replicas: 1024000
12:47 | 0221024/f_125 |   64 |          0.2 |   1.6 |    1000 |    0.0001 | Disabled   | Squared | Disabled | (48 / 288)	 Replicas: 64000
12:48 | 0221024/f_126 |  128 |         0.05 |   0.4 |    1000 |    0.0001 | Disabled   | Dimers | Disabled | (49 / 288)	 Replicas: 256000
