=== 20220321 06:47 ===
TIME  | PATHNAME      | SIDE | DEFECTS_FRAC | GAMMA | N_CHUNK | TOLERANCE | CORR_RANGE | POLYMERS | PERCOLATION
06:47 | _20220321/f_0 |  512 |            0 |   0.4 |     512 |     0.001 | Disabled   | Dimers | Both | (1 / 176)	 Chunks: 5
06:55 | _20220321/f_1 |  512 |            0 |   0.4 |     512 |     0.001 | Disabled   | Linear trimers | Both | (2 / 176)	 Chunks: 16
07:23 | _20220321/f_2 |  512 |            0 |   0.4 |     512 |     0.001 | Disabled   | Trimers | Both | (3 / 176)	 Chunks: 14
07:57 | _20220321/f_3 |  512 |            0 |   0.4 |     512 |     0.001 | Disabled   | Squared | Both | (4 / 176)	 Chunks: 5
08:05 | _20220321/f_4 |  512 |          0.1 |   0.4 |     512 |     0.001 | Disabled   | Dimers | Both | (5 / 176)	 Chunks: 2
08:08 | _20220321/f_5 |  512 |          0.1 |   0.4 |     512 |     0.001 | Disabled   | Linear trimers | Both | (6 / 176)	 Chunks: 8
08:22 | _20220321/f_6 |  512 |          0.1 |   0.4 |     512 |     0.001 | Disabled   | Trimers | Both | (7 / 176)	 Chunks: 8
08:40 | _20220321/f_7 |  512 |          0.1 |   0.4 |     512 |     0.001 | Disabled   | Squared | Both | (8 / 176)	 Chunks: 11
08:58 | _20220321/f_8 |  512 |          0.2 |   0.4 |     512 |     0.001 | Disabled   | Dimers | Both | (9 / 176)	 Chunks: 6
09:08 | _20220321/f_9 |  512 |          0.2 |   0.4 |     512 |     0.001 | Disabled   | Linear trimers | Both | (10 / 176)	 Chunks: 14
09:32 | 20220321/f_10 |  512 |          0.2 |   0.4 |     512 |     0.001 | Disabled   | Trimers | Both | (11 / 176)	 Chunks: 14
10:04 | 20220321/f_11 |  512 |          0.2 |   0.4 |     512 |     0.001 | Disabled   | Squared | Both | (12 / 176)	 Chunks: 6
10:13 | 20220321/f_12 |  512 |          0.3 |   0.4 |     512 |     0.001 | Disabled   | Dimers | Both | (13 / 176)	 Chunks: 11
10:32 | 20220321/f_13 |  512 |          0.3 |   0.4 |     512 |     0.001 | Disabled   | Linear trimers | Both | (14 / 176)	 Chunks: 13
10:53 | 20220321/f_14 |  512 |          0.3 |   0.4 |     512 |     0.001 | Disabled   | Trimers | Both | (15 / 176)	 Chunks: 9
11:13 | 20220321/f_15 |  512 |          0.3 |   0.4 |     512 |     0.001 | Disabled   | Squared | Both | (16 / 176)	 Chunks: 18
11:41 | 20220321/f_16 |  512 |          0.4 |   0.4 |     512 |     0.001 | Disabled   | Dimers | Both | (17 / 176)	 Chunks: 12
12:01 | 20220321/f_17 |  512 |          0.4 |   0.4 |     512 |     0.001 | Disabled   | Linear trimers | Both | (18 / 176)	 Chunks: 7
12:13 | 20220321/f_18 |  512 |          0.4 |   0.4 |     512 |     0.001 | Disabled   | Trimers | Both | (19 / 176)	 Chunks: 9
12:31 | 20220321/f_19 |  512 |          0.4 |   0.4 |     512 |     0.001 | Disabled   | Squared | Both | (20 / 176)	 Chunks: 9
12:45 | 20220321/f_20 |  512 |          0.5 |   0.4 |     512 |     0.001 | Disabled   | Dimers | Both | (21 / 176)	 Chunks: 9
13:00 | 20220321/f_21 |  512 |          0.5 |   0.4 |     512 |     0.001 | Disabled   | Linear trimers | Both | (22 / 176)	 Chunks: 12
13:20 | 20220321/f_22 |  512 |          0.5 |   0.4 |     512 |     0.001 | Disabled   | Trimers | Both | (23 / 176)	 Chunks: 16
13:51 | 20220321/f_23 |  512 |          0.5 |   0.4 |     512 |     0.001 | Disabled   | Squared | Both | (24 / 176)	 Chunks: 20
14:22 | 20220321/f_24 |  512 |          0.6 |   0.4 |     512 |     0.001 | Disabled   | Dimers | Both | (25 / 176)	 Chunks: 5
14:30 | 20220321/f_25 |  512 |          0.6 |   0.4 |     512 |     0.001 | Disabled   | Linear trimers | Both | (26 / 176)	 Chunks: 4
14:36 | 20220321/f_26 |  512 |          0.6 |   0.4 |     512 |     0.001 | Disabled   | Trimers | Both | (27 / 176)	 Chunks: 2
14:40 | 20220321/f_27 |  512 |          0.6 |   0.4 |     512 |     0.001 | Disabled   | Squared | Both | (28 / 176)	 Chunks: 4
14:46 | 20220321/f_28 |  512 |          0.7 |   0.4 |     512 |     0.001 | Disabled   | Dimers | Both | (29 / 176)	 Chunks: 9
15:00 | 20220321/f_29 |  512 |          0.7 |   0.4 |     512 |     0.001 | Disabled   | Linear trimers | Both | (30 / 176)	 Chunks: 13
15:21 | 20220321/f_30 |  512 |          0.7 |   0.4 |     512 |     0.001 | Disabled   | Trimers | Both | (31 / 176)	 Chunks: 9
15:37 | 20220321/f_31 |  512 |          0.7 |   0.4 |     512 |     0.001 | Disabled   | Squared | Both | (32 / 176)	 Chunks: 19
16:06 | 20220321/f_32 |  512 |          0.8 |   0.4 |     512 |     0.001 | Disabled   | Dimers | Both | (33 / 176)	 Chunks: 11
16:23 | 20220321/f_33 |  512 |          0.8 |   0.4 |     512 |     0.001 | Disabled   | Linear trimers | Both | (34 / 176)	 Chunks: 14
16:45 | 20220321/f_34 |  512 |          0.8 |   0.4 |     512 |     0.001 | Disabled   | Trimers | Both | (35 / 176)	 Chunks: 30
17:36 | 20220321/f_35 |  512 |          0.8 |   0.4 |     512 |     0.001 | Disabled   | Squared | Both | (36 / 176)	 Chunks: 16
18:00 | 20220321/f_36 |  512 |          0.9 |   0.4 |     512 |     0.001 | Disabled   | Dimers | Both | (37 / 176)	 Chunks: 14
18:22 | 20220321/f_37 |  512 |          0.9 |   0.4 |     512 |     0.001 | Disabled   | Linear trimers | Both | (38 / 176)	 Chunks: 18
18:49 | 20220321/f_38 |  512 |          0.9 |   0.4 |     512 |     0.001 | Disabled   | Trimers | Both | (39 / 176)	 Chunks: 13
19:10 | 20220321/f_39 |  512 |          0.9 |   0.4 |     512 |     0.001 | Disabled   | Squared | Both | (40 / 176)	 Chunks: 20
19:41 | 20220321/f_40 |  512 |            1 |   0.4 |     512 |     0.001 | Disabled   | Dimers | Both | (41 / 176)	 Chunks: 2
19:44 | 20220321/f_41 |  512 |            1 |   0.4 |     512 |     0.001 | Disabled   | Linear trimers | Both | (42 / 176)	 Chunks: 2
19:47 | 20220321/f_42 |  512 |            1 |   0.4 |     512 |     0.001 | Disabled   | Trimers | Both | (43 / 176)	 Chunks: 2
19:50 | 20220321/f_43 |  512 |            1 |   0.4 |     512 |     0.001 | Disabled   | Squared | Both | (44 / 176)	 Chunks: 2
19:53 | 20220321/f_44 |  512 |            0 |   0.8 |     512 |     0.001 | Disabled   | Dimers | Both | (45 / 176)	 Chunks: 6
20:04 | 20220321/f_45 |  512 |            0 |   0.8 |     512 |     0.001 | Disabled   | Linear trimers | Both | (46 / 176)	 Chunks: 12
20:24 | 20220321/f_46 |  512 |            0 |   0.8 |     512 |     0.001 | Disabled   | Trimers | Both | (47 / 176)	 Chunks: 10
20:48 | 20220321/f_47 |  512 |            0 |   0.8 |     512 |     0.001 | Disabled   | Squared | Both | (48 / 176)	 Chunks: 11
21:05 | 20220321/f_48 |  512 |          0.1 |   0.8 |     512 |     0.001 | Disabled   | Dimers | Both | (49 / 176)	 Chunks: 2
21:08 | 20220321/f_49 |  512 |          0.1 |   0.8 |     512 |     0.001 | Disabled   | Linear trimers | Both | (50 / 176)	 Chunks: 11
21:27 | 20220321/f_50 |  512 |          0.1 |   0.8 |     512 |     0.001 | Disabled   | Trimers | Both | (51 / 176)	 Chunks: 7
21:43 | 20220321/f_51 |  512 |          0.1 |   0.8 |     512 |     0.001 | Disabled   | Squared | Both | (52 / 176)	 Chunks: 8
21:56 | 20220321/f_52 |  512 |          0.2 |   0.8 |     512 |     0.001 | Disabled   | Dimers | Both | (53 / 176)	 Chunks: 8
22:09 | 20220321/f_53 |  512 |          0.2 |   0.8 |     512 |     0.001 | Disabled   | Linear trimers | Both | (54 / 176)	 Chunks: 15
22:34 | 20220321/f_54 |  512 |          0.2 |   0.8 |     512 |     0.001 | Disabled   | Trimers | Both | (55 / 176)	 Chunks: 8
22:52 | 20220321/f_55 |  512 |          0.2 |   0.8 |     512 |     0.001 | Disabled   | Squared | Both | (56 / 176)	 Chunks: 9
23:06 | 20220321/f_56 |  512 |          0.3 |   0.8 |     512 |     0.001 | Disabled   | Dimers | Both | (57 / 176)	 Chunks: 7
23:17 | 20220321/f_57 |  512 |          0.3 |   0.8 |     512 |     0.001 | Disabled   | Linear trimers | Both | (58 / 176)	 Chunks: 6
23:27 | 20220321/f_58 |  512 |          0.3 |   0.8 |     512 |     0.001 | Disabled   | Trimers | Both | (59 / 176)	 Chunks: 10
23:49 | 20220321/f_59 |  512 |          0.3 |   0.8 |     512 |     0.001 | Disabled   | Squared | Both | (60 / 176)	 Chunks: 19
00:18 | 20220321/f_60 |  512 |          0.4 |   0.8 |     512 |     0.001 | Disabled   | Dimers | Both | (61 / 176)	 Chunks: 7
00:29 | 20220321/f_61 |  512 |          0.4 |   0.8 |     512 |     0.001 | Disabled   | Linear trimers | Both | (62 / 176)	 Chunks: 9
00:44 | 20220321/f_62 |  512 |          0.4 |   0.8 |     512 |     0.001 | Disabled   | Trimers | Both | (63 / 176)	 Chunks: 7
