=== 20220521 23:06 ===
TIME  | PATHNAME      | SIDE | DEFECTS_FRAC | GAMMA | N_CHUNK | TOLERANCE | CORR_RANGE | POLYMERS | PERCOLATION
23:06 | _20220521/f_0 |  512 |         0.05 |   1.6 |     512 |      0.01 | Disabled   | Trimers | Both | (1 / 72)	 Replicas: 16384
01:31 | _20220521/f_1 |  512 |          0.1 |   1.6 |     512 |      0.01 | Disabled   | Trimers | Both | (2 / 72)	 Replicas: 65536
10:45 | _20220521/f_2 |  512 |          0.2 |   1.6 |     512 |      0.01 | Disabled   | Trimers | Both | (3 / 72)	 Replicas: 131072
03:44 | _20220521/f_3 |  512 |         0.05 |   1.2 |     512 |      0.01 | Disabled   | Trimers | Both | (4 / 72)	 Replicas: 262144
18:14 | _20220521/f_4 |  512 |          0.1 |   1.2 |     512 |      0.01 | Disabled   | Trimers | Both | (5 / 72)	 Replicas: 32768
22:52 | _20220521/f_5 |  512 |          0.2 |   1.2 |     512 |      0.01 | Disabled   | Trimers | Both | (6 / 72)	 Replicas: 131072
15:56 | _20220521/f_6 |  512 |         0.05 |   0.8 |     512 |      0.01 | Disabled   | Trimers | Both | (7 / 72)	 Replicas: 131072
11:15 | _20220521/f_7 |  512 |          0.1 |   0.8 |     512 |      0.01 | Disabled   | Trimers | Both | (8 / 72)	 Replicas: 32768
15:54 | _20220521/f_8 |  512 |          0.2 |   0.8 |     512 |      0.01 | Disabled   | Trimers | Both | (9 / 72)	 Replicas: 65536
00:30 | _20220521/f_9 |  512 |         0.05 |   0.4 |     512 |      0.01 | Disabled   | Trimers | Both | (10 / 72)	 Replicas: 32768
05:20 | 20220521/f_10 |  512 |          0.1 |   0.4 |     512 |      0.01 | Disabled   | Trimers | Both | (11 / 72)	 Replicas: 65536
14:39 | 20220521/f_11 |  512 |          0.2 |   0.4 |     512 |      0.01 | Disabled   | Trimers | Both | (12 / 72)	 Replicas: 65536
