=== 20220523 22:21 ===
TIME  | PATHNAME      | SIDE | DEFECTS_FRAC | GAMMA | N_CHUNK | TOLERANCE | CORR_RANGE | POLYMERS | PERCOLATION
22:21 | _20220523/f_0 |  513 |         0.05 |   0.4 |     512 |      0.01 | Disabled   | Linear trimers | Both | (1 / 72)	 Replicas: 65536
23:41 | _20220523/f_1 |  513 |          0.1 |   0.4 |     512 |      0.01 | Disabled   | Linear trimers | Both | (2 / 72)	 Replicas: 262144
04:51 | _20220523/f_2 |  513 |          0.2 |   0.4 |     512 |      0.01 | Disabled   | Linear trimers | Both | (3 / 72)	 Replicas: 262144
10:01 | _20220523/f_3 |  513 |         0.05 |   0.8 |     512 |      0.01 | Disabled   | Linear trimers | Both | (4 / 72)	 Replicas: 131072
12:53 | _20220523/f_4 |  513 |          0.1 |   0.8 |     512 |      0.01 | Disabled   | Linear trimers | Both | (5 / 72)	 Replicas: 65536
14:19 | _20220523/f_5 |  513 |          0.2 |   0.8 |     512 |      0.01 | Disabled   | Linear trimers | Both | (6 / 72)	 Replicas: 131072
17:24 | _20220523/f_6 |  513 |         0.05 |   1.2 |     512 |      0.01 | Disabled   | Linear trimers | Both | (7 / 72)	 Replicas: 32768
18:04 | _20220523/f_7 |  513 |          0.1 |   1.2 |     512 |      0.01 | Disabled   | Linear trimers | Both | (8 / 72)	 Replicas: 65536
19:22 | _20220523/f_8 |  513 |          0.2 |   1.2 |     512 |      0.01 | Disabled   | Linear trimers | Both | (9 / 72)	 Replicas: 524288
05:00 | _20220523/f_9 |  513 |         0.05 |   1.6 |     512 |      0.01 | Disabled   | Linear trimers | Both | (10 / 72)	 Replicas: 131072
07:47 | 20220523/f_10 |  513 |          0.1 |   1.6 |     512 |      0.01 | Disabled   | Linear trimers | Both | (11 / 72)	 Replicas: 1048576
05:34 | 20220523/f_11 |  513 |          0.2 |   1.6 |     512 |      0.01 | Disabled   | Linear trimers | Both | (12 / 72)	 Replicas: 65536
06:45 | 20220523/f_12 | 1025 |         0.05 |   0.4 |     512 |      0.01 | Disabled   | Linear trimers | Both | (13 / 72)	 Replicas: 262144
07:15 | 20220523/f_13 | 1025 |          0.1 |   0.4 |     512 |      0.01 | Disabled   | Linear trimers | Both | (14 / 72)	 Replicas: 131072
18:43 | 20220523/f_14 | 1025 |          0.2 |   0.4 |     512 |      0.01 | Disabled   | Linear trimers | Both | (15 / 72)	 Replicas: 131072
05:09 | 20220523/f_15 | 1025 |         0.05 |   0.8 |     512 |      0.01 | Disabled   | Linear trimers | Both | (16 / 72)	 Replicas: 65536
10:57 | 20220523/f_16 | 1025 |          0.1 |   0.8 |     512 |      0.01 | Disabled   | Linear trimers | Both | (17 / 72)	 Replicas: 131072
22:10 | 20220523/f_17 | 1025 |          0.2 |   0.8 |     512 |      0.01 | Disabled   | Linear trimers | Both | (18 / 72)	 Replicas: 262144
18:50 | 20220523/f_18 | 1025 |         0.05 |   1.2 |     512 |      0.01 | Disabled   | Linear trimers | Both | (19 / 72)	 Replicas: 262144
22:12 | 20220523/f_19 | 1025 |          0.1 |   1.2 |     512 |      0.01 | Disabled   | Linear trimers | Both | (20 / 72)	 Replicas: 131072
18:17 | 20220523/f_20 | 1025 |          0.2 |   1.2 |     512 |      0.01 | Disabled   | Linear trimers | Both | (21 / 72)	 Replicas: 65536
00:29 | 20220523/f_21 | 1025 |         0.05 |   1.6 |     512 |      0.01 | Disabled   | Linear trimers | Both | (22 / 72)	 Replicas: 65536
06:16 | 20220523/f_22 | 1025 |          0.1 |   1.6 |     512 |      0.01 | Disabled   | Linear trimers | Both | (23 / 72)	 Replicas: 131072
