=== 20220205 18:37 ===
TIME  | PATHNAME      | SIDE | DEFECTS_FRAC | GAMMA | N_REPLIES | CORR_RANGE | POLYMERS | PERCOLATION
18:37 |    20220205_0 |  512 |          0.1 |   0.2 |      1024 | Disabled   | Dimers | Both | 
=== 20220205 18:43 ===
TIME  | PATHNAME      | SIDE | DEFECTS_FRAC | GAMMA | N_REPLIES | CORR_RANGE | POLYMERS | PERCOLATION
18:43 |    20220205_1 |  512 |          0.1 |   0.2 |        50 | Disabled   | Dimers | Both | 
=== 20220205 18:43 ===
TIME  | PATHNAME      | SIDE | DEFECTS_FRAC | GAMMA | N_REPLIES | CORR_RANGE | POLYMERS | PERCOLATION
18:43 |    20220205_2 |  512 |          0.1 |   0.2 |        50 | Disabled   | Dimers | Both | 
=== 20220205 18:46 ===
TIME  | PATHNAME      | SIDE | DEFECTS_FRAC | GAMMA | N_REPLIES | CORR_RANGE | POLYMERS | PERCOLATION
18:46 |    20220205_0 |  512 |          0.1 |   0.2 |        50 | Disabled   | Dimers | Both | 
=== 20220205 18:47 ===
TIME  | PATHNAME      | SIDE | DEFECTS_FRAC | GAMMA | N_REPLIES | CORR_RANGE | POLYMERS | PERCOLATION
18:47 |    20220205_0 |  512 |          0.1 |   0.2 |        50 | Disabled   | Dimers | Both | 
=== 20220205 18:53 ===
TIME  | PATHNAME      | SIDE | DEFECTS_FRAC | GAMMA | N_REPLIES | CORR_RANGE | POLYMERS | PERCOLATION
18:53 |    20220205_0 |  512 |          0.1 |   0.2 |      1024 | Disabled   | Dimers | Both | 
=== 20220207 19:01 ===
TIME  | PATHNAME      | SIDE | DEFECTS_FRAC | GAMMA | N_REPLIES | CORR_RANGE | POLYMERS | PERCOLATION
19:01 |    20220207_0 |   64 |         0.05 |   0.4 |      1024 | Disabled   | Dimers | Both | 
19:01 |    20220207_1 |   64 |         0.05 |   0.4 |      1024 | Disabled   | Trimers | Both | 
19:02 |    20220207_2 |   64 |         0.05 |   0.4 |      1024 | Disabled   | Linear trimers | Both | 
19:02 |    20220207_3 |   64 |         0.05 |   0.4 |      1024 | Disabled   | Squared | Both | 
19:02 |    20220207_4 |   64 |          0.1 |   0.4 |      1024 | Disabled   | Dimers | Both | 
19:02 |    20220207_5 |   64 |          0.1 |   0.4 |      1024 | Disabled   | Trimers | Both | 
19:02 |    20220207_6 |   64 |          0.1 |   0.4 |      1024 | Disabled   | Linear trimers | Both | 
19:02 |    20220207_7 |   64 |          0.1 |   0.4 |      1024 | Disabled   | Squared | Both | 
19:02 |    20220207_8 |   64 |          0.2 |   0.4 |      1024 | Disabled   | Dimers | Both | 
19:02 |    20220207_9 |   64 |          0.2 |   0.4 |      1024 | Disabled   | Trimers | Both | 
19:02 |   20220207_10 |   64 |          0.2 |   0.4 |      1024 | Disabled   | Linear trimers | Both | 
19:02 |   20220207_11 |   64 |          0.2 |   0.4 |      1024 | Disabled   | Squared | Both | 
19:02 |   20220207_12 |   64 |         0.05 |   0.8 |      1024 | Disabled   | Dimers | Both | 
19:02 |   20220207_13 |   64 |         0.05 |   0.8 |      1024 | Disabled   | Trimers | Both | 
19:02 |   20220207_14 |   64 |         0.05 |   0.8 |      1024 | Disabled   | Linear trimers | Both | 
19:02 |   20220207_15 |   64 |         0.05 |   0.8 |      1024 | Disabled   | Squared | Both | 
19:02 |   20220207_16 |   64 |          0.1 |   0.8 |      1024 | Disabled   | Dimers | Both | 
19:02 |   20220207_17 |   64 |          0.1 |   0.8 |      1024 | Disabled   | Trimers | Both | 
19:02 |   20220207_18 |   64 |          0.1 |   0.8 |      1024 | Disabled   | Linear trimers | Both | 
19:02 |   20220207_19 |   64 |          0.1 |   0.8 |      1024 | Disabled   | Squared | Both | 
19:02 |   20220207_20 |   64 |          0.2 |   0.8 |      1024 | Disabled   | Dimers | Both | 
19:02 |   20220207_21 |   64 |          0.2 |   0.8 |      1024 | Disabled   | Trimers | Both | 
19:03 |   20220207_22 |   64 |          0.2 |   0.8 |      1024 | Disabled   | Linear trimers | Both | 
19:03 |   20220207_23 |   64 |          0.2 |   0.8 |      1024 | Disabled   | Squared | Both | 
19:03 |   20220207_24 |   64 |         0.05 |   1.2 |      1024 | Disabled   | Dimers | Both | 
19:03 |   20220207_25 |   64 |         0.05 |   1.2 |      1024 | Disabled   | Trimers | Both | 
19:03 |   20220207_26 |   64 |         0.05 |   1.2 |      1024 | Disabled   | Linear trimers | Both | 
19:03 |   20220207_27 |   64 |         0.05 |   1.2 |      1024 | Disabled   | Squared | Both | 
19:03 |   20220207_28 |   64 |          0.1 |   1.2 |      1024 | Disabled   | Dimers | Both | 
19:03 |   20220207_29 |   64 |          0.1 |   1.2 |      1024 | Disabled   | Trimers | Both | 
19:03 |   20220207_30 |   64 |          0.1 |   1.2 |      1024 | Disabled   | Linear trimers | Both | 
19:03 |   20220207_31 |   64 |          0.1 |   1.2 |      1024 | Disabled   | Squared | Both | 
19:03 |   20220207_32 |   64 |          0.2 |   1.2 |      1024 | Disabled   | Dimers | Both | 
19:03 |   20220207_33 |   64 |          0.2 |   1.2 |      1024 | Disabled   | Trimers | Both | 
19:03 |   20220207_34 |   64 |          0.2 |   1.2 |      1024 | Disabled   | Linear trimers | Both | 
19:03 |   20220207_35 |   64 |          0.2 |   1.2 |      1024 | Disabled   | Squared | Both | 
19:03 |   20220207_36 |   64 |         0.05 |   1.6 |      1024 | Disabled   | Dimers | Both | 
19:03 |   20220207_37 |   64 |         0.05 |   1.6 |      1024 | Disabled   | Trimers | Both | 
19:03 |   20220207_38 |   64 |         0.05 |   1.6 |      1024 | Disabled   | Linear trimers | Both | 
19:03 |   20220207_39 |   64 |         0.05 |   1.6 |      1024 | Disabled   | Squared | Both | 
19:03 |   20220207_40 |   64 |          0.1 |   1.6 |      1024 | Disabled   | Dimers | Both | 
19:04 |   20220207_41 |   64 |          0.1 |   1.6 |      1024 | Disabled   | Trimers | Both | 
19:04 |   20220207_42 |   64 |          0.1 |   1.6 |      1024 | Disabled   | Linear trimers | Both | 
19:04 |   20220207_43 |   64 |          0.1 |   1.6 |      1024 | Disabled   | Squared | Both | 
19:04 |   20220207_44 |   64 |          0.2 |   1.6 |      1024 | Disabled   | Dimers | Both | 
19:04 |   20220207_45 |   64 |          0.2 |   1.6 |      1024 | Disabled   | Trimers | Both | 
19:04 |   20220207_46 |   64 |          0.2 |   1.6 |      1024 | Disabled   | Linear trimers | Both | 
19:04 |   20220207_47 |   64 |          0.2 |   1.6 |      1024 | Disabled   | Squared | Both | 
19:04 |   20220207_48 |  128 |         0.05 |   0.4 |      1024 | Disabled   | Dimers | Both | 
19:04 |   20220207_49 |  128 |         0.05 |   0.4 |      1024 | Disabled   | Trimers | Both | 
19:04 |   20220207_50 |  128 |         0.05 |   0.4 |      1024 | Disabled   | Linear trimers | Both | 
19:05 |   20220207_51 |  128 |         0.05 |   0.4 |      1024 | Disabled   | Squared | Both | 
19:05 |   20220207_52 |  128 |          0.1 |   0.4 |      1024 | Disabled   | Dimers | Both | 
19:05 |   20220207_53 |  128 |          0.1 |   0.4 |      1024 | Disabled   | Trimers | Both | 
19:05 |   20220207_54 |  128 |          0.1 |   0.4 |      1024 | Disabled   | Linear trimers | Both | 
19:06 |   20220207_55 |  128 |          0.1 |   0.4 |      1024 | Disabled   | Squared | Both | 
19:06 |   20220207_56 |  128 |          0.2 |   0.4 |      1024 | Disabled   | Dimers | Both | 
19:06 |   20220207_57 |  128 |          0.2 |   0.4 |      1024 | Disabled   | Trimers | Both | 
19:06 |   20220207_58 |  128 |          0.2 |   0.4 |      1024 | Disabled   | Linear trimers | Both | 
19:06 |   20220207_59 |  128 |          0.2 |   0.4 |      1024 | Disabled   | Squared | Both | 
19:07 |   20220207_60 |  128 |         0.05 |   0.8 |      1024 | Disabled   | Dimers | Both | 
19:07 |   20220207_61 |  128 |         0.05 |   0.8 |      1024 | Disabled   | Trimers | Both | 
19:07 |   20220207_62 |  128 |         0.05 |   0.8 |      1024 | Disabled   | Linear trimers | Both | 
19:07 |   20220207_63 |  128 |         0.05 |   0.8 |      1024 | Disabled   | Squared | Both | 
19:08 |   20220207_64 |  128 |          0.1 |   0.8 |      1024 | Disabled   | Dimers | Both | 
19:08 |   20220207_65 |  128 |          0.1 |   0.8 |      1024 | Disabled   | Trimers | Both | 
19:08 |   20220207_66 |  128 |          0.1 |   0.8 |      1024 | Disabled   | Linear trimers | Both | 
19:08 |   20220207_67 |  128 |          0.1 |   0.8 |      1024 | Disabled   | Squared | Both | 
19:08 |   20220207_68 |  128 |          0.2 |   0.8 |      1024 | Disabled   | Dimers | Both | 
19:09 |   20220207_69 |  128 |          0.2 |   0.8 |      1024 | Disabled   | Trimers | Both | 
19:09 |   20220207_70 |  128 |          0.2 |   0.8 |      1024 | Disabled   | Linear trimers | Both | 
19:09 |   20220207_71 |  128 |          0.2 |   0.8 |      1024 | Disabled   | Squared | Both | 
19:09 |   20220207_72 |  128 |         0.05 |   1.2 |      1024 | Disabled   | Dimers | Both | 
19:10 |   20220207_73 |  128 |         0.05 |   1.2 |      1024 | Disabled   | Trimers | Both | 
19:10 |   20220207_74 |  128 |         0.05 |   1.2 |      1024 | Disabled   | Linear trimers | Both | 
19:10 |   20220207_75 |  128 |         0.05 |   1.2 |      1024 | Disabled   | Squared | Both | 
19:10 |   20220207_76 |  128 |          0.1 |   1.2 |      1024 | Disabled   | Dimers | Both | 
19:10 |   20220207_77 |  128 |          0.1 |   1.2 |      1024 | Disabled   | Trimers | Both | 
19:11 |   20220207_78 |  128 |          0.1 |   1.2 |      1024 | Disabled   | Linear trimers | Both | 
19:11 |   20220207_79 |  128 |          0.1 |   1.2 |      1024 | Disabled   | Squared | Both | 
19:11 |   20220207_80 |  128 |          0.2 |   1.2 |      1024 | Disabled   | Dimers | Both | 
19:11 |   20220207_81 |  128 |          0.2 |   1.2 |      1024 | Disabled   | Trimers | Both | 
19:12 |   20220207_82 |  128 |          0.2 |   1.2 |      1024 | Disabled   | Linear trimers | Both | 
19:12 |   20220207_83 |  128 |          0.2 |   1.2 |      1024 | Disabled   | Squared | Both | 
19:12 |   20220207_84 |  128 |         0.05 |   1.6 |      1024 | Disabled   | Dimers | Both | 
19:12 |   20220207_85 |  128 |         0.05 |   1.6 |      1024 | Disabled   | Trimers | Both | 
19:13 |   20220207_86 |  128 |         0.05 |   1.6 |      1024 | Disabled   | Linear trimers | Both | 
19:13 |   20220207_87 |  128 |         0.05 |   1.6 |      1024 | Disabled   | Squared | Both | 
19:13 |   20220207_88 |  128 |          0.1 |   1.6 |      1024 | Disabled   | Dimers | Both | 
19:13 |   20220207_89 |  128 |          0.1 |   1.6 |      1024 | Disabled   | Trimers | Both | 
19:13 |   20220207_90 |  128 |          0.1 |   1.6 |      1024 | Disabled   | Linear trimers | Both | 
19:14 |   20220207_91 |  128 |          0.1 |   1.6 |      1024 | Disabled   | Squared | Both | 
19:14 |   20220207_92 |  128 |          0.2 |   1.6 |      1024 | Disabled   | Dimers | Both | 
19:14 |   20220207_93 |  128 |          0.2 |   1.6 |      1024 | Disabled   | Trimers | Both | 
19:14 |   20220207_94 |  128 |          0.2 |   1.6 |      1024 | Disabled   | Linear trimers | Both | 
19:15 |   20220207_95 |  128 |          0.2 |   1.6 |      1024 | Disabled   | Squared | Both | 
19:15 |   20220207_96 |  256 |         0.05 |   0.4 |      1024 | Disabled   | Dimers | Both | 
19:16 |   20220207_97 |  256 |         0.05 |   0.4 |      1024 | Disabled   | Trimers | Both | 
19:17 |   20220207_98 |  256 |         0.05 |   0.4 |      1024 | Disabled   | Linear trimers | Both | 
19:18 |   20220207_99 |  256 |         0.05 |   0.4 |      1024 | Disabled   | Squared | Both | 
19:18 |  20220207_100 |  256 |          0.1 |   0.4 |      1024 | Disabled   | Dimers | Both | 
19:19 |  20220207_101 |  256 |          0.1 |   0.4 |      1024 | Disabled   | Trimers | Both | 
19:20 |  20220207_102 |  256 |          0.1 |   0.4 |      1024 | Disabled   | Linear trimers | Both | 
19:21 |  20220207_103 |  256 |          0.1 |   0.4 |      1024 | Disabled   | Squared | Both | 
19:22 |  20220207_104 |  256 |          0.2 |   0.4 |      1024 | Disabled   | Dimers | Both | 
19:23 |  20220207_105 |  256 |          0.2 |   0.4 |      1024 | Disabled   | Trimers | Both | 
19:24 |  20220207_106 |  256 |          0.2 |   0.4 |      1024 | Disabled   | Linear trimers | Both | 
19:25 |  20220207_107 |  256 |          0.2 |   0.4 |      1024 | Disabled   | Squared | Both | 
19:26 |  20220207_108 |  256 |         0.05 |   0.8 |      1024 | Disabled   | Dimers | Both | 
19:26 |  20220207_109 |  256 |         0.05 |   0.8 |      1024 | Disabled   | Trimers | Both | 
19:27 |  20220207_110 |  256 |         0.05 |   0.8 |      1024 | Disabled   | Linear trimers | Both | 
19:28 |  20220207_111 |  256 |         0.05 |   0.8 |      1024 | Disabled   | Squared | Both | 
19:29 |  20220207_112 |  256 |          0.1 |   0.8 |      1024 | Disabled   | Dimers | Both | 
19:30 |  20220207_113 |  256 |          0.1 |   0.8 |      1024 | Disabled   | Trimers | Both | 
19:31 |  20220207_114 |  256 |          0.1 |   0.8 |      1024 | Disabled   | Linear trimers | Both | 
19:32 |  20220207_115 |  256 |          0.1 |   0.8 |      1024 | Disabled   | Squared | Both | 
19:33 |  20220207_116 |  256 |          0.2 |   0.8 |      1024 | Disabled   | Dimers | Both | 
19:33 |  20220207_117 |  256 |          0.2 |   0.8 |      1024 | Disabled   | Trimers | Both | 
19:34 |  20220207_118 |  256 |          0.2 |   0.8 |      1024 | Disabled   | Linear trimers | Both | 
19:35 |  20220207_119 |  256 |          0.2 |   0.8 |      1024 | Disabled   | Squared | Both | 
19:36 |  20220207_120 |  256 |         0.05 |   1.2 |      1024 | Disabled   | Dimers | Both | 
19:37 |  20220207_121 |  256 |         0.05 |   1.2 |      1024 | Disabled   | Trimers | Both | 
19:38 |  20220207_122 |  256 |         0.05 |   1.2 |      1024 | Disabled   | Linear trimers | Both | 
19:39 |  20220207_123 |  256 |         0.05 |   1.2 |      1024 | Disabled   | Squared | Both | 
19:40 |  20220207_124 |  256 |          0.1 |   1.2 |      1024 | Disabled   | Dimers | Both | 
19:40 |  20220207_125 |  256 |          0.1 |   1.2 |      1024 | Disabled   | Trimers | Both | 
19:41 |  20220207_126 |  256 |          0.1 |   1.2 |      1024 | Disabled   | Linear trimers | Both | 
19:42 |  20220207_127 |  256 |          0.1 |   1.2 |      1024 | Disabled   | Squared | Both | 
19:43 |  20220207_128 |  256 |          0.2 |   1.2 |      1024 | Disabled   | Dimers | Both | 
19:44 |  20220207_129 |  256 |          0.2 |   1.2 |      1024 | Disabled   | Trimers | Both | 
19:45 |  20220207_130 |  256 |          0.2 |   1.2 |      1024 | Disabled   | Linear trimers | Both | 
19:46 |  20220207_131 |  256 |          0.2 |   1.2 |      1024 | Disabled   | Squared | Both | 
19:47 |  20220207_132 |  256 |         0.05 |   1.6 |      1024 | Disabled   | Dimers | Both | 
19:47 |  20220207_133 |  256 |         0.05 |   1.6 |      1024 | Disabled   | Trimers | Both | 
19:48 |  20220207_134 |  256 |         0.05 |   1.6 |      1024 | Disabled   | Linear trimers | Both | 
19:49 |  20220207_135 |  256 |         0.05 |   1.6 |      1024 | Disabled   | Squared | Both | 
