=== 20220111 18:09 ===
PATHNAME	 | SIDE | DEFECTS_FRAC | GAMMA | N_REPLIES | CORR_RANGE |
20220111_0	 | 1024 |          0.2 |   0.2 |       100 |        100 | 
20220111_1	 | 1024 |          0.2 |   0.6 |       100 |        100 | 
20220111_2	 | 1024 |          0.2 |     1 |       100 |        100 | 
20220111_3	 | 1024 |          0.2 |   1.4 |       100 |        100 | 
20220111_4	 | 1024 |          0.3 |   0.2 |       100 |        100 | 
20220111_5	 | 1024 |          0.3 |   0.6 |       100 |        100 | 
20220111_6	 | 1024 |          0.3 |     1 |       100 |        100 | 
20220111_7	 | 1024 |          0.3 |   1.4 |       100 |        100 | 
20220111_8	 | 1024 |          0.4 |   0.2 |       100 |        100 | 
20220111_9	 | 1024 |          0.4 |   0.6 |       100 |        100 | 
20220111_10	 | 1024 |          0.4 |     1 |       100 |        100 | 
20220111_11	 | 1024 |          0.4 |   1.4 |       100 |        100 | 
20220111_12	 | 1024 |          0.5 |   0.2 |       100 |        100 | 
20220111_13	 | 1024 |          0.5 |   0.6 |       100 |        100 | 
20220111_14	 | 1024 |          0.5 |     1 |       100 |        100 | 
20220111_15	 | 1024 |          0.5 |   1.4 |       100 |        100 | 
